Species,DR_tip_rate
Podocarpus_macrophyllus,0.011582276
Nageia_nagi,0.011582276
Cunninghamia_lanceolata,0.012362183
Cryptomeria_japonica,0.024405604
Taxodium_distichum,0.048293348
Taxodium_distichum_var._imbricatum,0.048293348
Juniperus_virginiana_var._silicola,0.077705316
Juniperus_virginiana,0.124074872
Juniperus_chinensis,0.124074872
Juniperus_communis,0.210126287
Juniperus_formosana,0.210126287
Juniperus_rigida,0.124035628
Callitropsis_funebris,0.048306876
Platycladus_orientalis,0.032978757
Thuja_occidentalis,0.04659155
Thuja_koraiensis,0.04659155
Metasequoia_glyptostroboides,0.016068027
Torreya_grandis,0.020908533
Amentotaxus_argotaenia,0.020908533
Cephalotaxus_oliveri,0.024597725
Cephalotaxus_sinensis,0.047628495
Cephalotaxus_fortunei,0.047628495
Taxus_cuspidata,0.044173042
Taxus_canadensis,0.044173042
Taxus_wallichiana_var._chinensis,0.023062893
Larix_kaempferi,0.07468609
Larix_gmelinii,0.07468609
Larix_gmelinii_var._principis-rupprechtii,0.039209623
Larix_gmelinii_var._olgensis,0.039209623
Larix_laricina,0.078401988
Larix_sp.,0.078401988
Pseudotsuga_sinensis,0.020314933
Pinus_taiwanensis,0.099401818
Pinus_tabuliformis,0.099401818
Pinus_densiflora,0.109491955
Pinus_resinosa,0.135950045
Pinus_sylvestris,0.135950045
Pinus_massoniana,0.082983494
Pinus_clausa,0.119260998
Pinus_virginiana,0.119260998
Pinus_palustris,0.204802664
Pinus_rigida,0.37850873
Pinus_taeda,0.37850873
Pinus_elliottii,0.216750901
Pinus_echinata,0.216750901
Pinus_henryi,0.025053694
Pinus_pumila,0.123991308
Pinus_koraiensis,0.123991308
Pinus_armandii,0.075929395
Pinus_strobus,0.043941608
Picea_mariana,0.165987985
Picea_rubens,0.165987985
Picea_pungens,0.093821534
Picea_abies,0.102180116
Picea_koraiensis,0.392898598
Picea_meyeri,0.392898598
Picea_obovata,0.200953365
Picea_glauca,0.031187245
Abies_holophylla,0.053285024
Abies_balsamea,0.201022601
Abies_fraseri,0.201022601
Abies_nephrolepis,0.101929359
Keteleeria_davidiana,0.028155511
Pseudolarix_amabilis,0.026692334
Tsuga_canadensis,0.042811307
Tsuga_chinensis,0.061695724
Tsuga_caroliniana,0.061695724
Cedrus_deodara,0.012486958
Zamia_pumila,0.004766797
Cycas_revoluta,0.004766797
Ephedra_equisetina,0.007123262
Ephedra_monosperma,0.007123262
Ginkgo_biloba,0.003523173
Vernicia_fordii,0.041047246
Vernicia_montana,0.041047246
Croton_glandulosus_var._glandulosus,0.061746344
Croton_michauxii,0.093296337
Croton_argyranthemus,0.093296337
Croton_sp.,0.038029999
Ditrysinia_fruticosa,0.019618421
Cnidoscolus_stimulosus,0.017586562
Euphorbia_helioscopia,0.067424445
Euphorbia_pekinensis,0.067424445
Euphorbia_sieboldiana,0.083909121
Euphorbia_cyparissias,0.152967853
Euphorbia_esula,0.152967853
Euphorbia_lucorum,0.066799562
Euphorbia_hylonoma,0.066799562
Euphorbia_pubentissima,0.028087508
Euphorbia_sikkimensis,0.028087508
Chamaesyce_maculata,0.028087508
Poinsettia_heterophylla,0.072955622
Euphorbia_corollata_var._corollata,0.072955622
Chamaesyce_hirta,0.129698846
Euphorbia_prostrata,0.129698846
Euphorbia_humifusa,0.170565093
Euphorbia_maculata,0.170565093
Chamaesyce_hyssopifolia,0.11951612
Euphorbia_hypericifolia,0.11951612
Euphorbia_supina,0.039818829
Stillingia_sylvatica,0.027354102
Neoshirakia_japonica,0.045744389
Triadica_sebifera,0.045744389
Mallotus_repandus,0.083359368
Mallotus_philippensis,0.083359368
Mallotus_apelta,0.055008126
Mallotus_nepalensis,0.035931255
Mallotus_stewardii,0.035931255
Mercurialis_leiocarpa,0.026296067
Acalypha_australis,0.041286805
Acalypha_virginica,0.041286805
Acalypha_gracilens,0.073160351
Acalypha_rhomboidea,0.073160351
Tragia_urens,0.031527952
Tragia_urticifolia,0.031527952
Linum_virginianum_var._virginianum,0.014916706
Linum_medium_var._texanum,0.014916706
Linum_stelleroides,0.021079444
Linum_striatum,0.021079444
Leptopus_chinensis,0.016651131
Securinega_suffruticosa,0.016651131
Phyllanthus_daltonii,0.039295675
Phyllanthus_matsumurae,0.039295675
Phyllanthus_tenellus,0.048887496
Phyllanthus_glaucus,0.057533917
Phyllanthus_ussuriensis,0.057533917
Phyllanthus_urinaria,0.039295675
Glochidion_wilsonii,0.074209986
Glochidion_puberum,0.074209986
Sauropus_androgynus,0.041095702
Flueggea_suffruticosa,0.019851107
Antidesma_japonicum,0.021867654
Antidesma_bunius,0.021867654
Passiflora_lutea,0.021774044
Passiflora_incarnata,0.021774044
Piriqueta_cistoides_subsp._caroliniana,0.014203392
Salix_fargesii,0.032665126
Salix_subfragilis,0.032665126
Salix_rosmarinifolia,0.032665126
Salix_linearistipularis,0.032665126
Salix_polyadenia,0.032665126
Salix_cheilophila,0.032665126
Chosenia_maximowiczii,0.032665126
Salix_moupinensis,0.032665126
Salix_starkeana,0.032665126
Salix_xerophila,0.032665126
Salix_disperma,0.032665126
Salix_sinica,0.032665126
Salix_cathayana,0.032665126
Salix_yanbianica,0.032665126
Salix_sp.,0.032665126
Salix_bebbiana,0.154186359
Salix_discolor,0.261807277
Salix_eriocephala,0.261807277
Salix_purpurea,0.149932556
Salix_raddeana,0.149932556
Salix_nummularia,0.20011957
Salix_myrtilloides,2.678416196
Salix_kangensis,4.967401792
Salix_integra,4.967401792
Salix_taraikensis,1.407733076
Salix_siuzevii,1.366236048
Salix_rorida,4.277603914
Salix_arbutifolia,6.792077043
Salix_schwerinii,11.58108655
Salix_viminalis,11.58108655
Salix_caprea,2.498760175
Salix_gracilistyla,0.744715379
Salix_rotundifolia,1.439645509
Salix_reinii,1.439645509
Salix_triandra,0.054370667
Salix_mesnyi,0.144317295
Salix_babylonica,0.318718339
Salix_pentandra,0.318718339
Salix_lucida,0.26788012
Salix_dunnii,0.32266765
Salix_rosthornii,0.32266765
Salix_matsudana,0.166534315
Salix_chienii,0.166534315
Salix_sericea,0.189695623
Salix_humilis,0.189695623
Salix_nigra,0.19911906
Salix_caroliniana,0.19911906
Populus_pseudosimonii,0.034126214
Populus_pseudomaximowiczii,0.034126214
Populus_x_jackii,0.034126214
Populus_x_canadensis,0.034126214
Populus_deltoides,0.151275602
Populus_balsamifera,0.151275602
Populus_koreana,0.246414126
Populus_ussuriensis,0.246414126
Populus_maximowiczii,0.155461692
Populus_cathayana,0.096953897
Populus_tremuloides,0.289587586
Populus_tomentosa,0.588500751
Populus_davidiana,0.588500751
Populus_adenopoda,0.473880719
Populus_grandidentata,0.473880719
Populus_nigra,0.19986899
Populus_lasiocarpa,0.238143127
Populus_sp.,0.430813004
Populus_candicans,0.74003943
Populus_simonii,0.74003943
Xylosma_congesta,0.019052127
Idesia_polycarpa,0.019052127
Viola_muehldorfii,0.018077691
Viola_eamesii,0.018077691
Viola_concordifolia,0.018077691
Viola_schneideri,0.018077691
Viola_epipsila,0.018077691
Viola_emarginata,0.018077691
Viola_diffusa_var._brevibarbata,0.018077691
Viola_pubescens_var._scabriuscula,0.018077691
Viola_dactyloides,0.132068059
Viola_selkirkii,0.132068059
Viola_inconspicua,0.299473465
Viola_betonicifolia,0.597678793
Viola_patrinii,0.597678793
Viola_papilionacea,0.324147794
Viola_phalacrocarpa,0.324147794
Viola_prionantha,0.280232713
Viola_variegata,0.280232713
Viola_philippica,0.309790374
Viola_mandshurica,0.424010416
Viola_dissecta,0.424010416
Viola_chaerophylloides,0.158535423
Viola_japonica,0.158535423
Viola_magnifica,0.150363345
Viola_yezoensis,0.150363345
Viola_canadensis,0.238536425
Viola_rotundifolia,0.238536425
Viola_biflora,0.1661452
Viola_pubescens,0.105045322
Viola_hondoensis,0.361566838
Viola_collina,0.361566838
Viola_striata,0.281736429
Viola_hastata,0.199870225
Viola_stewardiana,0.471986704
Viola_grypoceras,0.471986704
Viola_mirabilis,0.746107395
Viola_sacchalinensis,0.746107395
Viola_acuminata,0.504706324
Viola_conspersa,0.286314893
Viola_websteri,0.217776533
Viola_bicolor,0.106842744
Viola_diamantiaca,0.303536912
Viola_rossii,0.397914511
Viola_moupinensis,0.397914511
Viola_verecunda,0.295214914
Viola_triangulifolia,0.295214914
Viola_palmata,0.579611823
Viola_sororia,2.277882769
Viola_pedatifida_subsp._brittoniana,2.277882769
Viola_cucullata,1.148463865
Viola_macloskeyi,0.715942836
Viola_lanceolata,0.715942836
Viola_macloskeyi_var._pallens,0.69452472
Viola_blanda,0.928843803
Viola_primulifolia,0.928843803
Viola_vaginata,0.217966761
Viola_sagittata,0.148845396
Viola_pedata,0.148845396
Viola_principis,0.076392033
Viola_diffusa,0.076392033
Hypericum_fauriei,0.021066802
Hypericum_boreale,0.147763865
Hypericum_japonicum,0.147763865
Hypericum_mutilum,0.099340233
Hypericum_gentianoides,0.060042924
Hypericum_canadense,0.047819076
Hypericum_buckleyi,0.129221461
Hypericum_tetrapetalum,0.129221461
Hypericum_ellipticum,0.080180841
Hypericum_brachyphyllum,0.098179691
Hypericum_fasciculatum,0.098179691
Hypericum_ascyron,0.082088286
Hypericum_monogynum,0.149267577
Hypericum_patulum,0.149267577
Hypericum_attenuatum,0.154621183
Hypericum_punctatum,0.240633372
Hypericum_seniawinii,0.411494052
Hypericum_erectum,0.411494052
Hypericum_perforatum,0.112846371
Hypericum_hypericoides,0.108450198
Hypericum_stragulum,0.108450198
Hypericum_sampsonii,0.040277572
Triadenum_breviflorum,0.028497622
Triadenum_sp.,0.108272252
Hypericum_walteri,0.108272252
Triadenum_virginicum,0.099737936
Triadenum_fraseri,0.099737936
Hypericum_densiflorum,0.015624891
Hypericum_crux-andreae,0.015624891
Licania_michauxii,0.00966393
Oxalis_debilis,0.019187239
Oxalis_violacea,0.019187239
Oxalis_griffithii,0.019187239
Oxalis_grandis,0.019187239
Oxalis_montana,0.019187239
Oxalis_acetosella_subsp._japonica,0.037636965
Oxalis_acetosella,0.037636965
Oxalis_dillenii,0.073854071
Oxalis_stricta,0.073854071
Oxalis_corniculata,0.037636951
Oxalis_rubra,0.019187239
Sloanea_sinensis,0.012024437
