coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
5a51bb71-a4e6-4934-bc64-bbd0b36b1df4,,,preservedspecimen,,solidago curtisii,v0291530wis,magnoliopsida,,b20b8d91-3255-4926-93e6-af9c6ad60faf,,baker; lehmann,,,north america,1807,united states,usa,giles,1958-08-10T00:00:00+00:00,2018-08-24T10:49:29.833465+00:00,0.304347826,,,,,,ffa3e56b05d58613a1847285ba946030a046b342,8/10/1958,asteraceae,,"[""dwc_taxonrank_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,solidago,,"{""lat"": 37.402732, ""lon"": -80.490041}",,TRUE,TRUE,,,,,wis,,,plantae,,,,,,,salt pond mountain; 1 mi e of mount habe; allegheny mountains in vicinity of mountain lake biological station,,,,["3e5d94de-ff81-4e19-a48e-9c2247547ac5"],,,1067,,bc8b7b90-bbd7-475d-ab5d-272c3b20d381,asterales,tracheophyta,"[""9e5aede6-bee5-4a3d-a255-513771b20035\\bc8b7b90-bbd7-475d-ab5d-272c3b20d381"", ""9e5aede6-bee5-4a3d-a255-513771b20035\\urn:uuid:bc8b7b90-bbd7-475d-ab5d-272c3b20d381"", ""9e5aede6-bee5-4a3d-a255-513771b20035\\6417804"", ""urn:uuid:bc8b7b90-bbd7-475d-ab5d-272c3b20d381""]",41,9e5aede6-bee5-4a3d-a255-513771b20035,solidago curtisii,curtisii,222,virginia,5389088,doubtful,species,,5a51bb71-a4e6-4934-bc64-bbd0b36b1df4,10-Aug-58,,,
d52f00ed-4544-4afd-a0a0-678f3929e6e4,,,preservedspecimen,,vaccinium pallidum,v0161993wis,magnoliopsida,,b20b8d91-3255-4926-93e6-af9c6ad60faf,,"iltis, hugh; merritt, r.",,,north america,,united states,usa,giles,1958-07-25T00:00:00+00:00,2018-08-24T10:49:29.833465+00:00,0.188405797,,,,,,fe9fe39e7112ace6ab08c83b7dbb52edc333922d,7/25/1958,ericaceae,,"[""geopoint_datum_missing"", ""geopoint_low_precision"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_class_added"", ""taxon_match_failed""]",,vaccinium,,"{""lat"": 37.35, ""lon"": -80.51667}",,FALSE,FALSE,,,,,wis,,,plantae,,,,,,,"allegheny mountains. w of white pine lodge, 2.5 mi nne of mountain lake.",,,,,,,,,319b6f2b-1feb-458a-83e8-7a4e0803af9c,ericales,tracheophyta,"[""9e5aede6-bee5-4a3d-a255-513771b20035\\319b6f2b-1feb-458a-83e8-7a4e0803af9c"", ""9e5aede6-bee5-4a3d-a255-513771b20035\\urn:uuid:319b6f2b-1feb-458a-83e8-7a4e0803af9c"", ""urn:uuid:319b6f2b-1feb-458a-83e8-7a4e0803af9c"", ""9e5aede6-bee5-4a3d-a255-513771b20035\\5106121""]",s.n.,9e5aede6-bee5-4a3d-a255-513771b20035,vaccinium pallidum,pallidum,206,virginia,2882895,accepted,species,,d52f00ed-4544-4afd-a0a0-678f3929e6e4,,,,
8e059581-4cbf-4212-9e94-7025d557acc0,,,preservedspecimen,,actaea racemosa,conn00014030,magnoliopsida,conn,,,g.s. torrey,black cohosa; black snakeroot,["black cohosa; black snakeroot"],north america,1,united states,usa,giles county,1936-09-05T00:00:00+00:00,2014-09-12T19:18:00.146000+00:00,0.246376812,,,,,,a8d7a127f7103ed1013c3cd4c10b9d818c47c33f,9/5/1936,ranunculaceae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_kingdom_replaced"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonomicstatus_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""dwc_class_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,actaea,,"{""lat"": 37.35527, ""lon"": -80.53805}",,TRUE,TRUE,plantae; dicotyledonae; ranunculales; ranunculaceae,,,,uconn,,,plantae,,,,,,,"castle rock, near mountain lake",,,,["31ef86d7-83b1-4119-8b82-b23d0cc7f062"],,,,mountain lake,urn:catalog:uconn:conn:conn00014030,ranunculales,tracheophyta,["e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\urn:catalog:uconn:conn:conn00014030"],2822,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,actaea racemosa l.,racemosa,249,virginia,6376106,accepted,species,,8e059581-4cbf-4212-9e94-7025d557acc0,5-Sep-36,,,
8b399499-68a6-4aa5-9347-258127904e32,,,preservedspecimen,,ageratina altissima,ncu00047593,magnoliopsida,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"bell, c. ritchie",,,north america,3036,united states,usa,giles,1965-08-10T00:00:00+00:00,2018-04-12T15:05:30.284524+00:00,0.260869565,,,,,,512baa48bd6937dc1e9d31b14baa80bd02023bf8,8/10/1965,asteraceae,,"[""gbif_reference_added"", ""dwc_taxonid_replaced"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""dwc_phylum_replaced"", ""gbif_canonicalname_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,ageratina,,"{""lat"": 37.355403, ""lon"": -80.537838}",,TRUE,TRUE,,,,roanensis,ncu,,,plantae,,,,,,,along co. rd. 613 ca. 1 mile below mtn. lake hotel.,,,,["b19d13e5-96cb-402a-8f45-d05434686386"],,,,,402ffaf2-ea1a-42df-b483-30d384203711,asterales,tracheophyta,"[""urn:uuid:402ffaf2-ea1a-42df-b483-30d384203711"", ""4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\12577881"", ""4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\402ffaf2-ea1a-42df-b483-30d384203711""]",18283,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,ageratina altissima var. roanensis,altissima,222,virginia,5400552,doubtful,species,,8b399499-68a6-4aa5-9347-258127904e32,,,,
09d1663e-a115-4e31-8d13-a3270847a798,,,preservedspecimen,,trautvetteria carolinensis,100695500,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,andrew townesmith|j. richard abbott,,,north america,,united states,usa,giles,5/30/2012,2016-03-09T09:12:45.040858+00:00,0.231884058,,,,,,361b74b9c75669092580f60cf0fba51959c4b993,,ranunculaceae,477,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""idigbio_isocountrycode_added"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""dwc_originalnameusageid_added"", ""dwc_class_added""]",,trautvetteria,,"{""lat"": 37.4119444, ""lon"": -80.5227778}",,FALSE,FALSE,,,2,,mo,,,plantae,,,,,,,"thomas jefferson national forest, new river valley ranger district. along virginia state road 613, 3.1 miles south of intersection with state road 635. at wind rock trailhead (appalachian trail).",,,,,,,1211,,urn:catalog:mo:tropicos:100695500,ranunculales,tracheophyta,["5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100695500"],townesmith 2229,5386d272-06c6-4027-b5d5-d588c2afe5e5,trautvetteria caroliniensis (walter) vail,carolinensis,151,virginia,4927062,accepted,species,,09d1663e-a115-4e31-8d13-a3270847a798,,,,
b2c17e29-d8a0-4939-9643-40c5449c2a2d,,,preservedspecimen,,hypericum densiflorum,100695497,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,andrew townesmith|j. richard abbott,,,north america,,united states,usa,giles,5/30/2012,2016-03-09T09:12:45.040858+00:00,0.260869565,,,,,,1ea1a00d1dc7459ca084fb01eca6aa1baaf87272,,hypericaceae,476,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""idigbio_isocountrycode_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""dwc_class_added"", ""taxon_match_failed""]",,hypericum,,"{""lat"": 37.4336111, ""lon"": -80.5372222}",,FALSE,FALSE,,,2,,mo,,,plantae,,,,,,,"thomas jefferson national forest, new river valley ranger district. along virginia state road 635 (big stony creek road), 9.1 miles east of intersection with state road 628 in olean.",,,,,,,803,,urn:catalog:mo:tropicos:100695497,malpighiales,tracheophyta,["5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100695497"],townesmith 2226,5386d272-06c6-4027-b5d5-d588c2afe5e5,hypericum densiflorum pursh,densiflorum,151,virginia,3189457,accepted,species,,b2c17e29-d8a0-4939-9643-40c5449c2a2d,,,,
83bc7ff7-b3ec-43f6-8a27-352329fda03d,,,preservedspecimen,,rhus aromatica,missa002084,magnoliopsida,,30fb0e54-d6f8-4750-b0ec-a305e49637ca,,t. daggy,,,north america,1766,united states,usa,giles,1966-08-01T00:00:00+00:00,2018-07-27T09:34:31.780697+00:00,0.246376812,,,,,,cdc17a74722036d6a2d3a9721313a227dbb8cdc1,8/1/1966,anacardiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_class_added""]",,rhus,,"{""lat"": 37.310094, ""lon"": -80.52218}",,TRUE,TRUE,,,,,missa,,,plantae,,,,,,,"mountain lake, link farm, rd 604, on sinking creek at base of mt.",,,,["1a24e862-0a5d-494f-8ae5-10d3b4227801"],,,,,a86fadaa-074c-4c04-a47f-6df74398ba74,sapindales,tracheophyta,"[""urn:uuid:a86fadaa-074c-4c04-a47f-6df74398ba74"", ""3056112e-97c6-4d0d-b6c2-3c0a9adaca24\\a86fadaa-074c-4c04-a47f-6df74398ba74"", ""3056112e-97c6-4d0d-b6c2-3c0a9adaca24\\5779253""]",3444,3056112e-97c6-4d0d-b6c2-3c0a9adaca24,rhus aromatica,aromatica,213,virginia,3190558,accepted,species,,83bc7ff7-b3ec-43f6-8a27-352329fda03d,,,,
12f457af-441f-440a-bf22-706f54625ae8,,,preservedspecimen,,asclepias exaltata,missa002704,magnoliopsida,,30fb0e54-d6f8-4750-b0ec-a305e49637ca,,t. slotta,,,north america,,united states,usa,giles,2003-08-04T00:00:00+00:00,2018-07-27T09:34:31.780697+00:00,0.217391304,,,,,,f6ca7aef212e597f33419b0f0bba57a79bd245ba,8/4/2003,apocynaceae,,"[""geopoint_datum_missing"", ""geopoint_low_precision"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_class_added""]",,asclepias,,"{""lat"": 37.37, ""lon"": -80.61}",,TRUE,TRUE,,,,,missa,,,plantae,,,,,,,ca 1.25 mi below outlook tower on butt mt,,,,["adbec56f-42d2-4e1f-bb9e-f79651045b13"],,,,,64afc9ad-8bc7-4d73-89e3-90c6953c4013,gentianales,tracheophyta,"[""urn:uuid:64afc9ad-8bc7-4d73-89e3-90c6953c4013"", ""3056112e-97c6-4d0d-b6c2-3c0a9adaca24\\64afc9ad-8bc7-4d73-89e3-90c6953c4013"", ""3056112e-97c6-4d0d-b6c2-3c0a9adaca24\\5779887""]",2003-8,3056112e-97c6-4d0d-b6c2-3c0a9adaca24,asclepias exaltata,exaltata,216,virginia,3170307,accepted,species,,12f457af-441f-440a-bf22-706f54625ae8,,,,
d9855065-a86f-4fb5-9a26-ed8170a423ae,,,preservedspecimen,,vaccinium erythrocarpum,,magnoliopsida,,55400f7e-82bd-4806-8d0c-4bc43d697b62,,emily gillespie,,,north america,2289,united states,usa,giles,2006-05-30T00:00:00+00:00,2018-07-27T09:41:00.142358+00:00,0.260869565,,,,,,7a7b0460946354bb123ea956c65f0be75cc5e384,5/30/2006,ericaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_multimedia_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,vaccinium,,"{""lat"": 37.36833, ""lon"": -80.52194}",,FALSE,FALSE,,,,,wfu,,,plantae,,,,,,,"on the campus of mountain lake biological station, within trail system north of campus",,,,,,,354,pembroke,44692b79-4353-4810-839c-8d60da5f4d19,ericales,tracheophyta,"[""urn:uuid:44692b79-4353-4810-839c-8d60da5f4d19"", ""8a54c5fa-2900-4859-a2d6-1b7faedafac4\\44692b79-4353-4810-839c-8d60da5f4d19"", ""8a54c5fa-2900-4859-a2d6-1b7faedafac4\\4671858""]",3-Jun,8a54c5fa-2900-4859-a2d6-1b7faedafac4,vaccinium erythrocarpum,erythrocarpum,150,virginia,2882844,accepted,species,,d9855065-a86f-4fb5-9a26-ed8170a423ae,,,,
1808131f-4951-4e04-89d8-63b4a2ee1d64,,,preservedspecimen,,chimaphila maculata,,magnoliopsida,,55400f7e-82bd-4806-8d0c-4bc43d697b62,,emily gillespie,,,north america,2289,united states,usa,giles,7/28/2007,2018-07-27T09:41:00.142358+00:00,0.246376812,,,,,,757f4f75c0229360248a076114fa21977e0a069f,2007-07-00,ericaceae,,"[""dwc_taxonrank_added"", ""dwc_originalnameusageid_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_multimedia_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,chimaphila,,"{""lat"": 37.36833, ""lon"": -80.52194}",,FALSE,FALSE,,,,,wfu,,,plantae,,,,,,,campus of mountain lake biological station,,,,,,,1189,pembroke,84805aa8-7f65-48bf-b35c-1d1f6b4f1f8d,ericales,tracheophyta,"[""8a54c5fa-2900-4859-a2d6-1b7faedafac4\\4671885"", ""8a54c5fa-2900-4859-a2d6-1b7faedafac4\\84805aa8-7f65-48bf-b35c-1d1f6b4f1f8d"", ""urn:uuid:84805aa8-7f65-48bf-b35c-1d1f6b4f1f8d""]",9-Jul,8a54c5fa-2900-4859-a2d6-1b7faedafac4,chimaphila maculata,maculata,209,virginia,2888304,accepted,species,,1808131f-4951-4e04-89d8-63b4a2ee1d64,,,,
