coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
8ea4d5f5-c356-4829-95f4-b07d27458c41,,,preservedspecimen,,rhexia virginica,375006,magnoliopsida,mass,8dbeecc9-adb7-4a6b-bf70-0907b584ec7a,,w. j. l. zubrin,,,north america,10784,united states,usa,carroll,1971-07-31T00:00:00+00:00,2018-04-12T15:32:28.766359+00:00,0.260869565,,,,,,1c0ae1b021eb3109ce228bb9811851a3bd99b7b9,7/31/1971,melastomataceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_country_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_class_replaced"", ""dwc_continent_added"", ""dwc_taxonomicstatus_added""]",,rhexia,,"{""lat"": 43.97408, ""lon"": -71.27017}",,TRUE,TRUE,,,,,university of massachusetts,,,plantae,,,,,,,na,,,,["2daf13e7-15a4-46d8-afeb-107426772454"],,,,albany,82759dce-0527-480a-b173-f01402bf7047,myrtales,tracheophyta,"[""d78d13a7-3852-4244-ba34-86ef5765fa99\\82759dce-0527-480a-b173-f01402bf7047"", ""urn:uuid:0b1282bd-6ff8-42b6-a366-77deffa5b614"", ""d78d13a7-3852-4244-ba34-86ef5765fa99\\2010885""]",,d78d13a7-3852-4244-ba34-86ef5765fa99,rhexia virginica,virginica,212,new hampshire,6370198,accepted,species,,8ea4d5f5-c356-4829-95f4-b07d27458c41,,,,
323e8129-3cf2-40b3-8590-f28a18befb97,,,preservedspecimen,,solidago,418178,magnoliopsida,mass,8dbeecc9-adb7-4a6b-bf70-0907b584ec7a,,e. m. round,,,north america,10784,united states,usa,carroll,1907-07-31T00:00:00+00:00,2018-04-12T15:32:28.766359+00:00,0.275362319,,,,,,c982fbcf569b66388c62aa72ff0698a3b383f776,7/31/1907,asteraceae,,"[""dwc_taxonrank_added"", ""gbif_canonicalname_added"", ""dwc_country_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_class_replaced"", ""dwc_continent_added"", ""dwc_taxonomicstatus_added"", ""taxon_match_failed""]",,solidago,,"{""lat"": 43.97408, ""lon"": -71.27017}",,TRUE,TRUE,,,,,university of massachusetts,,,plantae,,,,,,,na,,,,["1dadbd8c-11a3-416b-af19-b0b8ea747b8e"],,,,albany,aecaa969-4436-4c7a-ae42-7abb1053f856,asterales,tracheophyta,"[""d78d13a7-3852-4244-ba34-86ef5765fa99\\aecaa969-4436-4c7a-ae42-7abb1053f856"", ""urn:uuid:20f24a55-dfc9-4cec-a6e8-be9acab0453a"", ""d78d13a7-3852-4244-ba34-86ef5765fa99\\1988970""]",,d78d13a7-3852-4244-ba34-86ef5765fa99,solidago calcicola,calcicola,212,new hampshire,7585160,doubtful,genus,,323e8129-3cf2-40b3-8590-f28a18befb97,,,,
bd9dc7d9-529b-4a7d-8235-e11a87979b1b,,,preservedspecimen,,rubus odoratus,kiri-10052,magnoliopsida,kiri,4ec5b1f2-f17f-48f1-84c4-c312c9c33646,,miss a. smith,,,north america,13665,united states,usa,carroll,1895-07-22T00:00:00+00:00,2018-03-02T09:33:05.598950+00:00,0.217391304,,,,,,b7b03d602900f25e905483eff66dd68b12245a00,1895-07-22,rosaceae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_country_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_taxonomicstatus_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_class_replaced"", ""dwc_continent_added"", ""taxon_match_failed""]",,rubus,,"{""lat"": 44.08019, ""lon"": -71.23305}",,TRUE,TRUE,,,,,university of rhode island,,,plantae,,,,,,,,,,,["d4d81616-266b-412d-9bc6-91592ab3649a"],,,,bartlett,4749f7f0-e081-4103-8894-c59dc2f9c28d,rosales,tracheophyta,"[""86b2bfc9-ca99-4250-b93a-f86f3777236d\\1459707"", ""urn:uuid:4749f7f0-e081-4103-8894-c59dc2f9c28d"", ""86b2bfc9-ca99-4250-b93a-f86f3777236d\\4749f7f0-e081-4103-8894-c59dc2f9c28d""]",,86b2bfc9-ca99-4250-b93a-f86f3777236d,rubus odoratus,odoratus,203,new hampshire,2994912,accepted,species,,bd9dc7d9-529b-4a7d-8235-e11a87979b1b,,,,
2de00ec0-c8c1-4283-912a-051e77174f4f,,,preservedspecimen,,ilex laevigata,100758742,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,j. richard abbott|b.s. carlsward,,,north america,,united states,usa,carroll,8/7/2010,2016-03-09T09:12:45.040858+00:00,0.231884058,,,,,,af3c969047b500b1d657457433d18e55287ee1d6,,aquifoliaceae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""idigbio_isocountrycode_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""dwc_order_added"", ""dwc_originalnameusageid_added"", ""dwc_class_added""]",,ilex,,"{""lat"": 44.0857, ""lon"": -71.3458}",,FALSE,FALSE,,,,,mo,,,plantae,,,,,,,"white mountains, ca 4 miles wnw of bartlett on u.s. 302 (= crawford notch road), then ne off road into vicinity of fourth iron campground, sw of the confluence of the sawyer and saco rivers, accessed ca 400 m se of junction with sawyer river road, s of bridge over river.",,,260,,,,250,,urn:catalog:mo:tropicos:100758742,aquifoliales,tracheophyta,["5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100758742"],abbott 25611,5386d272-06c6-4027-b5d5-d588c2afe5e5,ilex laevigata (pursh) a. gray,laevigata,219,new hampshire,5414226,accepted,species,,2de00ec0-c8c1-4283-912a-051e77174f4f,,,,
55857044-4663-4e9d-9584-505b6f860c79,,,preservedspecimen,,viburnum lantanoides,100758734,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,j. richard abbott|b.s. carlsward,,,north america,,united states,usa,carroll,8/7/2010,2016-03-09T09:12:45.040858+00:00,0.217391304,,,,,,3b9402d2f06a693f51931f9ff90b9fcecb9d6627,,adoxaceae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""idigbio_isocountrycode_added"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""dwc_order_added"", ""dwc_class_added"", ""taxon_match_failed""]",,viburnum,,"{""lat"": 44.0836, ""lon"": -71.3463}",,FALSE,FALSE,,,,,mo,,,plantae,,,,,,,"white mountains, wnw of bartlett, e of mt. hancock, ne off u.s. 302 (= crawford notch road) near mile marker 59.1, ca 500 m se of junction with sawyer river road, along w side of sawyer river a little s of confluence with the saco river.",,,260,,,,250,,urn:catalog:mo:tropicos:100758734,dipsacales,tracheophyta,["5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100758734"],abbott 25602,5386d272-06c6-4027-b5d5-d588c2afe5e5,viburnum alnifolium marshall,lantanoides,219,new hampshire,2888601,accepted,species,,55857044-4663-4e9d-9584-505b6f860c79,,,,
ff518c8c-ba83-4d8c-9d02-71233063bce7,,,preservedspecimen,,arceuthobium pusillum,3616627,magnoliopsida,botany,,,f. g. hawksworth & a. shigo,,,north america,,united states,usa,carrol,10/25/1979,2018-04-12T14:40:34.943694+00:00,0.246376812,,,,,,35c41175ab7516817538057bda619f9b60e3441c,,santalaceae,,"[""geopoint_datum_missing"", ""geopoint_low_precision"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""dwc_phylum_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_class_replaced"", ""dwc_family_replaced""]",,arceuthobium,,"{""lat"": 44.05, ""lon"": -71.32}",,FALSE,FALSE,"plantae, dicotyledonae, santalales, loranthaceae",,1,,us,http://biocol.org/urn:lsid:biocol.org:col:34871,,plantae,,,,,,,white mtn natl. forest rte 26. ca. 3 air mi ssw of bartlett on summit at s edge of bartlett experimental forest,,,,,,,518,,http://n2t.net/ark:/65665/3c9856f14-f200-4562-8fc9-357702f343b3,santalales,tracheophyta,["a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\http://n2t.net/ark:/65665/3c9856f14-f200-4562-8fc9-357702f343b3"],1935,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,arceuthobium pusillum,pusillum,298,new hampshire,2889838,accepted,species,,ff518c8c-ba83-4d8c-9d02-71233063bce7,25-Oct-79,,,
15fd8dbf-7dc9-4b13-a5ed-496f15d4eec4,,,preservedspecimen,,utricularia macrorhiza,402512,magnoliopsida,mass,8dbeecc9-adb7-4a6b-bf70-0907b584ec7a,,c. b. hellquist,,,north america,10784,united states,usa,carroll,1970-08-09T00:00:00+00:00,2018-04-12T15:32:28.766359+00:00,0.231884058,,,,,,e6c54420354155a985eb960a8084dc843bfc341c,8/9/1970,lentibulariaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_country_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_multimedia_added"", ""dwc_specificepithet_replaced"", ""dwc_parentnameusageid_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_class_replaced"", ""dwc_continent_added"", ""dwc_taxonomicstatus_added""]",,utricularia,,"{""lat"": 43.97408, ""lon"": -71.27017}",,TRUE,TRUE,,,,,university of massachusetts,,,plantae,,,,,,,na,,,,["3021d595-df89-45f9-81f5-efd4089c556d"],,,,albany,0211ab25-7316-4c51-b374-9626bbeef0cd,lamiales,tracheophyta,"[""d78d13a7-3852-4244-ba34-86ef5765fa99\\0211ab25-7316-4c51-b374-9626bbeef0cd"", ""urn:uuid:6b5aae29-64a9-4347-ba4c-1ff9cab3035d"", ""d78d13a7-3852-4244-ba34-86ef5765fa99\\2009176""]",,d78d13a7-3852-4244-ba34-86ef5765fa99,utricularia vulgaris,macrorhiza,221,new hampshire,7670388,accepted,species,,15fd8dbf-7dc9-4b13-a5ed-496f15d4eec4,,,,
8a9ae6f7-44d8-4b16-b1e1-4e6993cd0e66,,,preservedspecimen,,pseudognaphalium obtusifolium,407856,magnoliopsida,mass,8dbeecc9-adb7-4a6b-bf70-0907b584ec7a,,c. b. hellquist,,,north america,10784,united states,usa,carroll,1969-07-28T00:00:00+00:00,2018-04-12T15:32:28.766359+00:00,0.231884058,,,,,,b4d7fe8f17469cab5324ff06717fad9c42696ef2,7/28/1969,asteraceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_country_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_class_replaced"", ""dwc_continent_added"", ""dwc_taxonomicstatus_added""]",,pseudognaphalium,,"{""lat"": 43.97408, ""lon"": -71.27017}",,TRUE,TRUE,,,,,university of massachusetts,,,plantae,,,,,,,na,,,,["322bbb44-1406-4444-9ed9-9512ab15871a"],,,,albany,6833acc2-cc78-4b46-aacb-93bb99ee0804,asterales,tracheophyta,"[""urn:uuid:c2cd9d6d-3612-4e29-9fa2-94b0eac701a1"", ""d78d13a7-3852-4244-ba34-86ef5765fa99\\2069919"", ""d78d13a7-3852-4244-ba34-86ef5765fa99\\6833acc2-cc78-4b46-aacb-93bb99ee0804""]",,d78d13a7-3852-4244-ba34-86ef5765fa99,pseudognaphalium obtusifolium,obtusifolium,209,new hampshire,3101060,doubtful,species,,8a9ae6f7-44d8-4b16-b1e1-4e6993cd0e66,,,,
636051fe-c98e-4fdf-957b-0ee11dba8276,,,preservedspecimen,,viola,conn00171676,magnoliopsida,conn,,,stuart k. harris,,,north america,20000,united states,usa,coos county,1968-07-20T00:00:00+00:00,2014-09-09T01:28:41.717000+00:00,0.217391304,,,,,,76410c35bf7de920096b51e85611a3bcdd96a913,7/20/1968,violaceae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_scientificnameauthorship_added"", ""dwc_kingdom_replaced"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_order_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""dwc_class_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,viola,,"{""lat"": 44.13638, ""lon"": -71.3325}",,TRUE,TRUE,plantae; dicotyledonae; violales; violaceae,,,,uconn,,,plantae,,,,,,,mount crawford. davis path.,,,,["ec1cec55-9298-44a9-8c13-c57eb1a4c050"],,,,hadley grant,urn:catalog:uconn:conn:conn00171676,malpighiales,tracheophyta,["e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\urn:catalog:uconn:conn:conn00171676"],32500,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,viola renifolia gray,renifolia,202,new hampshire,2874237,accepted,genus,,636051fe-c98e-4fdf-957b-0ee11dba8276,20-Jul-68,,,
7dccb5ba-fe16-4c6b-a4aa-018f90384e87,,,preservedspecimen,,fraxinus americana,237652,magnoliopsida,,,,j. richard abbott,,,north america,,united states,usa,carroll,2010-08-07T00:00:00+00:00,2019-04-12T08:44:43.957332+00:00,0.246376812,,,,,,6cd18c0fd37cb47336d701c44bfcecf6b653e25f,8/7/2010,oleaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added""]",,fraxinus,,"{""lat"": 44.0835556, ""lon"": -71.34625}",,TRUE,TRUE,,,,americana,flas,university of florida herbarium,,plantae,,,,,,,,,,,["09684dda-1f7a-4f9e-862e-798380ff6368"],,,,,b8a824b4-abfe-4990-b51c-84554b5861f1,lamiales,tracheophyta,["781fd581-7b93-471e-a025-413e4bcd8491\\b8a824b4-abfe-4990-b51c-84554b5861f1"],25605,781fd581-7b93-471e-a025-413e4bcd8491,fraxinus americana var. americana,americana,219,new hampshire,3172327,accepted,species,,7dccb5ba-fe16-4c6b-a4aa-018f90384e87,7-Aug-10,"united states: new hampshire: carroll county.  white mountains, wnw of bartlett, e of mt. hancock, ne off u.s. 302 (= crawford notch road) near mile marker 59.1, ca 500 m se of junction with sawyer river road, along w side of sawyer river a little s of confluence with the saco river.  elev. 250-260 m  dry to mesic woods above river, with tsuga, fagus, picea, betula spp., acer rubrum, a. pensylvanicum, prunus serotina, aralia hispida, rubus, danthonia, carex, trillium, mitchella, dichanthelium spp., trientalis, cypripedium, athyrium, prenanthes, monotropa uniflora, lycopodium clavatum, l. lucidulum, maianthemum canadense, m. racemosum.  seedlings to canopy trees.  lat. 44鎺5'0.8""n  long. 71鎺20'46.5""w  datum: wgs 84.",,
