species,latitude,longitude,genus,epithet,family,order,country
Vaccinium erythrocarpum,37.368330000000000,-80.521940000000001,Vaccinium,erythrocarpum,Ericaceae,Ericales,United states
Chimaphila maculata,37.368330000000000,-80.521940000000001,Chimaphila,maculata,Ericaceae,Ericales,United states
Houstonia caerulea,37.375416000000001,-80.522927999999993,Houstonia,caerulea,Rubiaceae,Gentianales,United states
Quercus rubra,37.378315999999998,-80.523625999999993,Quercus,rubra,Fagaceae,Fagales,United states
Robinia pseudoacacia,37.371586999999998,-80.524484999999999,Robinia,pseudoacacia,Fabaceae,Fabales,United states
Acer rubrum,37.377856000000001,-80.522400000000005,Acer,rubrum,Sapindaceae,Sapindales,United states
Nyssa sylvatica,37.375394000000000,-80.525270000000006,Nyssa,sylvatica,Cornaceae,Cornales,United states
Acer rubrum,37.375086000000003,-80.527000000000001,Acer,rubrum,Sapindaceae,Sapindales,United states
Acer rubrum,37.370561000000002,-80.525700000000001,Acer,rubrum,Sapindaceae,Sapindales,United states
Carya ovata,37.371386000000001,-80.525923000000006,Carya,ovata,Juglandaceae,Fagales,United states
Lyonia ligustrina,37.376480000000001,-80.524990000000003,Lyonia,ligustrina,Ericaceae,Ericales,United states
Solidago arguta,37.375639999999997,-80.522959999999998,Solidago,arguta,Asteraceae,Asterales,United states
Trientalis borealis,37.374980000000001,-80.517200000000003,Trientalis,borealis,Primulaceae,Ericales,United states
Ranunculus bulbosus,37.374980000000001,-80.517200000000003,Ranunculus,bulbosus,Ranunculaceae,Ranunculales,United states
Hypericum perforatum,37.373998000000000,-80.523816999999994,Hypericum,perforatum,Hypericaceae,Malpighiales,United states
Vaccinium pallidum,37.377530999999998,-80.521124999999998,Vaccinium,pallidum,Ericaceae,Ericales,United states
Vaccinium angustifolium,37.377811999999999,-80.521958999999995,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Vaccinium angustifolium,37.377530999999998,-80.521124999999998,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Vaccinium pallidum,37.377530999999998,-80.521124999999998,Vaccinium,pallidum,Ericaceae,Ericales,United states
Nyssa sylvatica,37.374806000000000,-80.526820000000001,Nyssa,sylvatica,Cornaceae,Cornales,United states
Robinia pseudoacacia,37.375041000000003,-80.526729000000003,Robinia,pseudoacacia,Fabaceae,Fabales,United states
Acer pensylvanicum,37.374684999999999,-80.525700000000001,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Magnolia acuminata,37.374878000000002,-80.526903000000004,Magnolia,acuminata,Magnoliaceae,Magnoliales,United states
Quercus rubra,37.376244000000000,-80.519454999999994,Quercus,rubra,Fagaceae,Fagales,United states
Quercus rubra,37.371440000000000,-80.524079999999998,Quercus,rubra,Fagaceae,Fagales,United states
Gaylussacia baccata,37.374139999999997,-80.521069999999995,Gaylussacia,baccata,Ericaceae,Ericales,United states
Gaultheria procumbens,37.374139999999997,-80.521069999999995,Gaultheria,procumbens,Ericaceae,Ericales,United states
Hypericum densiflorum,37.374560000000002,-80.522019999999998,Hypericum,densiflorum,Hypericaceae,Malpighiales,United states
Jeffersonia diphylla,37.375639999999997,-80.522959999999998,Jeffersonia,diphylla,Berberidaceae,Ranunculales,United states
Gaylussacia baccata,37.374820000000000,-80.520700000000005,Gaylussacia,baccata,Ericaceae,Ericales,United states
Vaccinium pallidum,37.377020000000002,-80.517520000000005,Vaccinium,pallidum,Ericaceae,Ericales,United states
Conopholis americana,37.374980000000001,-80.517200000000003,Conopholis,americana,Orobanchaceae,Lamiales,United states
Aphyllon uniflorum,37.374980000000001,-80.517200000000003,Orobanche,uniflora,Orobanchaceae,Lamiales,United states
Fragaria virginiana,37.374980000000001,-80.517200000000003,Fragaria,virginiana,Rosaceae,Rosales,United states
Viola cucullata,37.359490000000001,-80.518259999999998,Viola,palustris,Violaceae,Malpighiales,United states
Ilex verticillata,37.375687999999997,-80.523075000000006,Ilex,verticillata,Aquifoliaceae,Aquifoliales,United states
Gaultheria procumbens,37.368330000000000,-80.521940000000001,Gaultheria,procumbens,Ericaceae,Ericales,United states
Pyrola americana,37.368330000000000,-80.521940000000001,Pyrola,americana,Ericaceae,Ericales,United states
