species,latitude,longitude,genus,epithet,family,order,country
Solidago curtisii,37.402732,-80.490041,Solidago,curtisii,Asteraceae,Asterales,United states
Vaccinium pallidum,37.35,-80.51667,Vaccinium,pallidum,Ericaceae,Ericales,United states
Actaea racemosa l.,37.35527,-80.53805,Actaea,racemosa,Ranunculaceae,Ranunculales,United states
Ageratina altissima var. roanensis,37.355403,-80.537838,Ageratina,altissima,Asteraceae,Asterales,United states
Trautvetteria caroliniensis (walter) vail,37.4119444,-80.5227778,Trautvetteria,carolinensis,Ranunculaceae,Ranunculales,United states
Hypericum densiflorum pursh,37.4336111,-80.5372222,Hypericum,densiflorum,Hypericaceae,Malpighiales,United states
Rhus aromatica,37.310094,-80.52218,Rhus,aromatica,Anacardiaceae,Sapindales,United states
Asclepias exaltata,37.37,-80.61,Asclepias,exaltata,Apocynaceae,Gentianales,United states
Vaccinium erythrocarpum,37.36833,-80.52194,Vaccinium,erythrocarpum,Ericaceae,Ericales,United states
Chimaphila maculata,37.36833,-80.52194,Chimaphila,maculata,Ericaceae,Ericales,United states
Vaccinium stamineum,37.432684,-80.549389,Vaccinium,stamineum,Ericaceae,Ericales,United states
Chimaphila maculata,37.432684,-80.549389,Chimaphila,maculata,Ericaceae,Ericales,United states
Pyrola americana,37.432684,-80.549389,Pyrola,americana,Ericaceae,Ericales,United states
Hamamelis virginiana,37.43094,-80.5494,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Gentiana clausa,37.356925,-80.533998,Gentiana,clausa,Gentianaceae,Gentianales,United states
Lyonia ligustrina,37.42957,-80.491449,Lyonia,ligustrina,Ericaceae,Ericales,United states
Houstonia caerulea,37.375416,-80.522928,Houstonia,caerulea,Rubiaceae,Gentianales,United states
Quercus rubra,37.378316,-80.523626,Quercus,rubra,Fagaceae,Fagales,United states
Quercus alba,37.379873,-80.521883,Quercus,alba,Fagaceae,Fagales,United states
Robinia pseudoacacia,37.371587,-80.524485,Robinia,pseudoacacia,Fabaceae,Fabales,United states
Acer rubrum,37.377856,-80.5224,Acer,rubrum,Sapindaceae,Sapindales,United states
Quercus montana,37.38019,-80.521814,Quercus,montana,Fagaceae,Fagales,United states
Nyssa sylvatica,37.375394,-80.52527,Nyssa,sylvatica,Cornaceae,Cornales,United states
Magnolia acuminata,37.378744,-80.522575,Magnolia,acuminata,Magnoliaceae,Magnoliales,United states
Acer rubrum,37.375086,-80.527,Acer,rubrum,Sapindaceae,Sapindales,United states
Acer rubrum,37.370561,-80.5257,Acer,rubrum,Sapindaceae,Sapindales,United states
Carya ovata,37.371386,-80.525923,Carya,ovata,Juglandaceae,Fagales,United states
Ilex montana,37.37009,-80.53374,Ilex,montana,Aquifoliaceae,Aquifoliales,United states
Betula lenta var. lenta,37.35925,-80.51839,Betula,lenta,Betulaceae,Fagales,United states
Lyonia ligustrina,37.37648,-80.52499,Lyonia,ligustrina,Ericaceae,Ericales,United states
Hypericum perforatum,37.374969,-80.53663,Hypericum,perforatum,Hypericaceae,Malpighiales,United states
Solidago arguta,37.37564,-80.52296,Solidago,arguta,Asteraceae,Asterales,United states
Helianthus decapetalus,37.33612,-80.55873,Helianthus,hirsutus,Asteraceae,Asterales,United states
Eutrochium fistulosum,37.33612,-80.55873,Eupatorium,fistulosum,Asteraceae,Asterales,United states
Elaeagnus umbellata,37.35907,-80.53492,Elaeagnus,umbellata,Elaeagnaceae,Rosales,United states
Conopholis americana,37.3683,-80.5338,Conopholis,americana,Orobanchaceae,Lamiales,United states
Viola blanda,37.3699,-80.5388,Viola,blanda,Violaceae,Malpighiales,United states
Achillea millefolium,37.3639,-80.5362,Achillea,millefolium,Asteraceae,Asterales,United states
Impatiens capensis,37.3637,-80.5356,Impatiens,capensis,Balsaminaceae,Ericales,United states
Anemone virginiana,37.3639,-80.5362,Anemone,virginiana,Ranunculaceae,Ranunculales,United states
Packera aurea,37.3543,-80.5386,Packera,aurea,Asteraceae,Asterales,United states
Clinopodium vulgare,37.3498,-80.535,Clinopodium,vulgare,Lamiaceae,Lamiales,United states
Lysimachia quadrifolia,37.3501,-80.5377,Lysimachia,quadrifolia,Primulaceae,Ericales,United states
Galium tinctorium,37.3783,-80.5221,Galium,tinctorium,Rubiaceae,Gentianales,United states
Asarum canadense,37.3412,-80.5678,Asarum,canadense,Aristolochiaceae,Piperales,United states
Saponaria officinalis,37.3416,-80.5669,Saponaria,officinalis,Caryophyllaceae,Caryophyllales,United states
Agrimonia gryposepala,37.3617,-80.5676,Agrimonia,gryposepala,Rosaceae,Rosales,United states
Cardamine rotundifolia,37.41425,-80.51946,Cardamine,rotundifolia,Brassicaceae,Brassicales,United states
Pedicularis canadensis,37.41425,-80.51946,Pedicularis,canadensis,Orobanchaceae,Lamiales,United states
Ranunculus recurvatus var. recurvatus,37.41425,-80.51946,Ranunculus,recurvatus,Ranunculaceae,Ranunculales,United states
Trientalis borealis,37.37498,-80.5172,Trientalis,borealis,Primulaceae,Ericales,United states
Rhododendron pilosum,37.41425,-80.51946,Rhododendron,pilosum,Ericaceae,Ericales,United states
Ranunculus bulbosus,37.37498,-80.5172,Ranunculus,bulbosus,Ranunculaceae,Ranunculales,United states
Viola rotundifolia,37.42402,-80.51057,Viola,rotundifolia,Violaceae,Malpighiales,United states
Ulmus rubra,37.42057,-80.51021,Ulmus,rubra,Ulmaceae,Rosales,United states
Ilex montana,37.41425,-80.51946,Ilex,montana,Aquifoliaceae,Aquifoliales,United states
Hypericum perforatum,37.373998,-80.523817,Hypericum,perforatum,Hypericaceae,Malpighiales,United states
Impatiens pallida,37.360366,-80.516261,Impatiens,pallida,Balsaminaceae,Ericales,United states
Viburnum cassinoides,37.396348,-80.575896,Viburnum,nudum,Adoxaceae,Dipsacales,United states
Silene virginica,37.355415,-80.553469,Silene,virginica,Caryophyllaceae,Caryophyllales,United states
Hamamelis virginiana,37.43094,-80.5494,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Viola blanda,37.43094,-80.5494,Viola,blanda,Violaceae,Malpighiales,United states
Viola cucullata,37.36763,-80.53176,Viola,palustris,Violaceae,Malpighiales,United states
Vaccinium pallidum,37.432684,-80.549389,Vaccinium,pallidum,Ericaceae,Ericales,United states
Vaccinium pallidum,37.377531,-80.521125,Vaccinium,pallidum,Ericaceae,Ericales,United states
Gaultheria procumbens,37.391921,-80.506191,Gaultheria,procumbens,Ericaceae,Ericales,United states
Rhododendron calendulaceum,37.350934,-80.534319,Rhododendron,calendulaceum,Ericaceae,Ericales,United states
Vaccinium angustifolium,37.377812,-80.521959,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Vaccinium angustifolium,37.377531,-80.521125,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Vaccinium pallidum,37.377531,-80.521125,Vaccinium,pallidum,Ericaceae,Ericales,United states
Vaccinium stamineum,37.43094,-80.5494,Vaccinium,stamineum,Ericaceae,Ericales,United states
Nyssa sylvatica,37.37832,-80.522552,Nyssa,sylvatica,Cornaceae,Cornales,United states
Magnolia acuminata,37.377652,-80.517932,Magnolia,acuminata,Magnoliaceae,Magnoliales,United states
Quercus rubra,37.378839,-80.522489,Quercus,rubra,Fagaceae,Fagales,United states
Carya glabra,37.378138,-80.517973,Carya,glabra,Juglandaceae,Fagales,United states
Nyssa sylvatica,37.374806,-80.52682,Nyssa,sylvatica,Cornaceae,Cornales,United states
Robinia pseudoacacia,37.375041,-80.526729,Robinia,pseudoacacia,Fabaceae,Fabales,United states
Acer pensylvanicum,37.374685,-80.5257,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Magnolia acuminata,37.374878,-80.526903,Magnolia,acuminata,Magnoliaceae,Magnoliales,United states
