species,latitude,longitude,genus,epithet,family,order,country
Acer rubrum,44.054217000000001,-71.270128000000000,Acer,rubrum,Sapindaceae,Sapindales,United states
Fraxinus americana,44.035480000000000,-71.276685999999998,Fraxinus,americana,Oleaceae,Lamiales,United states
Amelanchier bartramiana,44.055937999999998,-71.269913000000003,Amelanchier,bartramiana,Rosaceae,Rosales,United states
Actaea pachypoda,44.035460000000000,-71.276790000000005,Actaea,brachypoda,Ranunculaceae,Ranunculales,United states
Aralia racemosa,44.044260000000001,-71.277050000000003,Aralia,racemosa,Araliaceae,Apiales,United states
Fraxinus americana,44.054192000000000,-71.270088000000001,Fraxinus,americana,Oleaceae,Lamiales,United states
Hamamelis virginiana,44.055039000000001,-71.270449999999997,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Acer saccharum,44.055100000000003,-71.270568999999995,Acer,saccharum,Sapindaceae,Sapindales,United states
Pyrola americana,44.035530000000001,-71.276529999999994,Pyrola,americana,Ericaceae,Ericales,United states
Aralia racemosa,44.044260000000001,-71.277050000000003,Aralia,racemosa,Araliaceae,Apiales,United states
Fagus grandifolia,44.055173000000003,-71.270127000000002,Fagus,grandifolia,Fagaceae,Fagales,United states
Hamamelis virginiana,44.055937999999998,-71.269913000000003,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Rubus allegheniensis,44.044260000000001,-71.277050000000003,Rubus,allegheniensis,Rosaceae,Rosales,United states
Cornus alternifolia,44.054910000000000,-71.270308000000000,Cornus,alternifolia,Cornaceae,Cornales,United states
Hamamelis virginiana,44.054713999999997,-71.269994999999994,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Hamamelis virginiana,44.055154999999999,-71.270329000000004,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Acer rubrum,44.055197000000000,-71.270230999999995,Acer,rubrum,Sapindaceae,Sapindales,United states
Acer saccharum,44.055087999999998,-71.270386000000002,Acer,saccharum,Sapindaceae,Sapindales,United states
Viburnum lantanoides,44.035609999999998,-71.276358999999999,Viburnum,lantanoides,Adoxaceae,Dipsacales,United states
Acer rubrum,44.041075999999997,-71.275784999999999,Acer,rubrum,Sapindaceae,Sapindales,United states
Acer pensylvanicum,44.040984999999999,-71.275750000000002,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Acer saccharum,44.036181999999997,-71.276672000000005,Acer,saccharum,Sapindaceae,Sapindales,United states
Aralia hispida,44.044260000000001,-71.277050000000003,Aralia,hispida,Araliaceae,Apiales,United states
Acer spicatum,44.055205000000001,-71.270238000000006,Acer,spicatum,Sapindaceae,Sapindales,United states
Fagus grandifolia,44.054997000000000,-71.270497000000006,Fagus,grandifolia,Fagaceae,Fagales,United states
