species,latitude,longitude,genus,epithet,family,order,country
Rhexia virginica,43.97408,-71.27017,Rhexia,virginica,Melastomataceae,Myrtales,United states
Solidago calcicola,43.97408,-71.27017,Solidago,calcicola,Asteraceae,Asterales,United states
Rubus odoratus,44.08019,-71.23305,Rubus,odoratus,Rosaceae,Rosales,United states
Ilex laevigata (pursh) a. gray,44.0857,-71.3458,Ilex,laevigata,Aquifoliaceae,Aquifoliales,United states
Viburnum alnifolium marshall,44.0836,-71.3463,Viburnum,lantanoides,Adoxaceae,Dipsacales,United states
Arceuthobium pusillum,44.05,-71.32,Arceuthobium,pusillum,Santalaceae,Santalales,United states
Utricularia vulgaris,43.97408,-71.27017,Utricularia,macrorhiza,Lentibulariaceae,Lamiales,United states
Pseudognaphalium obtusifolium,43.97408,-71.27017,Pseudognaphalium,obtusifolium,Asteraceae,Asterales,United states
Viola renifolia gray,44.13638,-71.3325,Viola,renifolia,Violaceae,Malpighiales,United states
Fraxinus americana var. americana,44.0835556,-71.34625,Fraxinus,americana,Oleaceae,Lamiales,United states
Viburnum lantanoides,44.02657,-71.3228,Viburnum,lantanoides,Adoxaceae,Dipsacales,United states
Hypericum punctatum,44.12179,-71.21355,Hypericum,punctatum,Hypericaceae,Malpighiales,United states
Rumex acetosella,44.0309,-71.26331,Rumex,acetosella,Polygonaceae,Caryophyllales,United states
Ambrosia artemisiifolia,43.99618,-71.34975,Ambrosia,artemisiifolia,Asteraceae,Asterales,United states
Penstemon digitalis,44.00242,-71.27781,Penstemon,digitalis,Plantaginaceae,Lamiales,United states
Viburnum nudum,44.00242,-71.27781,Viburnum,nudum,Adoxaceae,Dipsacales,United states
Comptonia peregrina,44.00242,-71.27781,Comptonia,peregrina,Myricaceae,Fagales,United states
Actaea pachypoda,44.00242,-71.27781,Actaea,brachypoda,Ranunculaceae,Ranunculales,United states
Hypericum canadense,44.00242,-71.27781,Hypericum,canadense,Hypericaceae,Malpighiales,United states
Gaylussacia baccata,44.0062,-71.27915,Gaylussacia,baccata,Ericaceae,Ericales,United states
Prunus pensylvanica,44.0309,-71.26331,Prunus,pensylvanica,Rosaceae,Rosales,United states
Acer rubrum,44.054217,-71.270128,Acer,rubrum,Sapindaceae,Sapindales,United states
Fraxinus americana,44.03548,-71.276686,Fraxinus,americana,Oleaceae,Lamiales,United states
Amelanchier bartramiana,44.055938,-71.269913,Amelanchier,bartramiana,Rosaceae,Rosales,United states
Ostrya virginiana,44.13304,-71.26039,Ostrya,virginiana,Betulaceae,Fagales,United states
Diervilla lonicera mill.,44.0857,-71.3458,Diervilla,lonicera,Diervillaceae,Dipsacales,United states
Dalibarda repens,43.97408,-71.27017,Dalibarda,repens,Rosaceae,Rosales,United states
Celastrus scandens,44.094983,-71.215096,Celastrus,scandens,Celastraceae,Celastrales,United states
Viburnum alnifolium,43.9867,-71.2307,Viburnum,lantanoides,Adoxaceae,Dipsacales,United states
Fagus grandifolia,44.0835556,-71.34625,Fagus,grandifolia,Fagaceae,Fagales,United states
Betula alleghaniensis,44.026496,-71.32276,Betula,alleghaniensis,Betulaceae,Fagales,United states
Populus tremuloides,44.026496,-71.32276,Populus,tremuloides,Salicaceae,Malpighiales,United states
Actaea pachypoda,44.03546,-71.27679,Actaea,brachypoda,Ranunculaceae,Ranunculales,United states
Stachys annua,44.02657,-71.3228,Stachys,annua,Lamiaceae,Lamiales,United states
Quercus rubra,44.12179,-71.21355,Quercus,rubra,Fagaceae,Fagales,United states
Tilia americana,44.00242,-71.27781,Tilia,americana,Malvaceae,Malvales,United states
Aralia racemosa,44.04426,-71.27705,Aralia,racemosa,Araliaceae,Apiales,United states
Symphyotrichum lanceolatum,44.00242,-71.27781,Symphyotrichum,lanceolatum,Asteraceae,Asterales,United states
Rubus laciniatus,44.00242,-71.27781,Rubus,laciniatus,Rosaceae,Rosales,United states
Hypericum punctatum,44.00242,-71.27781,Hypericum,punctatum,Hypericaceae,Malpighiales,United states
Symphyotrichum cordifolium,44.00242,-71.27781,Symphyotrichum,cordifolium,Asteraceae,Asterales,United states
Alnus incana,44.00242,-71.27781,Alnus,incana,Betulaceae,Fagales,United states
Calystegia sepium,44.12179,-71.21355,Calystegia,sepium,Convolvulaceae,Solanales,United states
Fraxinus americana,44.054192,-71.270088,Fraxinus,americana,Oleaceae,Lamiales,United states
Hamamelis virginiana,44.055039,-71.27045,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Acer saccharum,44.0551,-71.270569,Acer,saccharum,Sapindaceae,Sapindales,United states
Hamamelis virginiana,44.035307,-71.276987,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Ilex verticillata,44.00517,-71.27777,Ilex,verticillata,Aquifoliaceae,Aquifoliales,United states
Acer saccharum,44.00517,-71.27777,Acer,saccharum,Sapindaceae,Sapindales,United states
Aquilegia vulgaris l.,44.07622,-71.3738,Aquilegia,vulgaris,Ranunculaceae,Ranunculales,United states
Acer rubrum l.,44.0857,-71.3458,Acer,rubrum,Sapindaceae,Sapindales,United states
Acer saccharum,43.97408,-71.27017,Acer,saccharum,Sapindaceae,Sapindales,United states
Betula populifolia,44.026496,-71.32276,Betula,populifolia,Betulaceae,Fagales,United states
Prunus pensylvanica,44.026496,-71.32276,Prunus,pensylvanica,Rosaceae,Rosales,United states
Pyrola americana,44.03553,-71.27653,Pyrola,americana,Ericaceae,Ericales,United states
Lotus corniculatus,44.02657,-71.3228,Lotus,corniculatus,Fabaceae,Fabales,United states
Solidago arguta,44.12179,-71.21355,Solidago,arguta,Asteraceae,Asterales,United states
Fallopia cilinodis,44.0309,-71.26331,Fallopia,cilinodis,Polygonaceae,Caryophyllales,United states
Aralia racemosa,44.04426,-71.27705,Aralia,racemosa,Araliaceae,Apiales,United states
Betula nigra,44.00242,-71.27781,Betula,nigra,Betulaceae,Fagales,United states
Galium palustre,43.99618,-71.34975,Galium,palustre,Rubiaceae,Gentianales,United states
Nabalus altissimus,44.00242,-71.27781,Nabalus,altissimus,Asteraceae,Asterales,United states
Tussilago farfara,44.00242,-71.27781,Tussilago,farfara,Asteraceae,Asterales,United states
Amelanchier arborea,44.007509,-71.277094,Amelanchier,arborea,Rosaceae,Rosales,United states
Nuphar variegata,44.0062,-71.27915,Nuphar,variegata,Nymphaeaceae,Nymphaeales,United states
Robinia pseudoacacia,44.0062,-71.27915,Robinia,pseudoacacia,Fabaceae,Fabales,United states
Aralia nudicaulis,44.0309,-71.26331,Aralia,nudicaulis,Araliaceae,Apiales,United states
Ostrya virginiana,44.027092,-71.322516,Ostrya,virginiana,Betulaceae,Fagales,United states
