country ,Site,Latitute,Longitude,Longitude_absolute,Species,D,MAP,MAT,PD,SES-PD,NRI,NTI
USA,White_Mountain,44.06,-71.29,71.29,254,92.32638047,1300,4.8,11289.35647,-3.49,-2.64,2.79
USA,Havard,42.54,-72.17,72.17,897,230.4834066,1120,7.2,24373.12791,-6.34,-0.35,4.82
USA,Mountain_Lake,37.38,-80.52,80.52,381,150.3731614,1045,9.8,14836.45846,-3.61,-0.69,3.6
USA,Coweeta,35.05,-83.45,83.45,681,244.1990967,1754,11.9,20877.26404,-5.35,2.05,4.18
USA,Talladega,32.92,-87.42,87.42,533,134.2470558,1425,17.1,18968.56469,-2.89,1.17,1.94
USA,Ordway,29.69,-81.99,81.99,749,205.2561702,1313,20.3,22192.71045,-5.23,1.41,4.28
China,Changbai,42.06,128,128,1140,150.9191919,741,2.13,27136.48,-8.92,1.1,5.5
China,Dongling,39.93,115.5,115.5,773,188.7970073,493,7.11,21413.26,-7.58,-0.41,5.81
China,Shennong,31.49,110.31,110.31,1559,237.7347181,1156,12.94,38684.07208,-1.57,-0.8,2.44
China,Tianmu,30.37,119.44,119.44,1188,315.8566318,1487,12.92,33176.26258,-0.63,0.8,1.9
China,Gutian,29.24,118.13,118.13,1209,275.0657361,1963.7,15.91,34287.3624,0.56,-0.89,0.17
