,Woody,Herb,Species
1,0,1,Chamaecrista_fasciculata
2,1,0,Clerodendrum_fragrans
3,1,0,Cocculus_carolinus
4,1,0,Cocculus_orbiculatus
5,1,0,Ficus_pumila
6,1,0,Holboellia_grandiflora
7,0,1,Ipomoea_aquatica
8,0,1,Krameria_lanceolata
9,0,1,Melochia_corchorifolia
10,0,1,Menispermum_dauricum
11,1,0,Paederia_foetida
12,0,1,Phlox_pilosa
13,1,0,Sargentodoxa_cuneata
14,0,1,Solanum_carolinense
15,1,0,Tetrastigma_hypoglaucum
16,1,0,Toxicodendron_radicans
17,1,0,Trachelospermum_axillare
18,1,0,Trachelospermum_jasminoides
19,1,0,Uncaria_rhynchophylla
20,1,0,Pueraria_montana
