Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,0.748562511058164,1.58050880895619,1.52663978113545,1.32511331425602,1.17083411381565,1.0321689892322,0.999476841589157,1.79813605943465,1.50194074691774,1.11282297900227
Dongling,0.748562511058164,0,1.39878006622984,1.29918446540186,1.17920910038704,1.18053388944683,1.12779310739418,1.05635376151106,1.68175654735995,1.46140463301907,1.23000957232307
Gutian,1.58050880895619,1.39878006622984,0,0.792127269017202,0.524087250529864,1.55538795510144,1.65147533046942,1.38436039045445,1.73973674836452,1.54858828508049,1.43091737497844
Shennong,1.52663978113545,1.29918446540186,0.792127269017202,0,0.766488961901568,1.59977799586826,1.70674939422494,1.38336005717646,1.9366971032467,1.71958060520987,1.50151323087599
Tianmu,1.32511331425602,1.17920910038704,0.524087250529864,0.766488961901568,0,1.46814334060955,1.52712473262539,1.31337991253751,1.72260189748387,1.54866142915105,1.43987335251495
Coweeta,1.17083411381565,1.18053388944683,1.55538795510144,1.59977799586826,1.46814334060955,0,0.737109434397708,0.533275113746418,1.24019052268727,0.845508552620833,0.930070286862657
Havard,1.0321689892322,1.12779310739418,1.65147533046942,1.70674939422494,1.52712473262539,0.737109434397708,0,0.687435492659733,1.32301595372852,1.05959588222824,0.715040808582485
Mountain_Lake,0.999476841589157,1.05635376151106,1.38436039045445,1.38336005717646,1.31337991253751,0.533275113746418,0.687435492659733,0,1.35715672187162,1.03100937911214,0.820905864559994
Ordway,1.79813605943465,1.68175654735995,1.73973674836452,1.9366971032467,1.72260189748387,1.24019052268727,1.32301595372852,1.35715672187162,0,0.793686803118457,1.25975164485301
Talladega,1.50194074691774,1.46140463301907,1.54858828508049,1.71958060520987,1.54866142915105,0.845508552620833,1.05959588222824,1.03100937911214,0.793686803118457,0,1.0665060638621
White_Mountain,1.11282297900227,1.23000957232307,1.43091737497844,1.50151323087599,1.43987335251495,0.930070286862657,0.715040808582485,0.820905864559994,1.25975164485301,1.0665060638621,0
