Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,0.792604821794352,1.11960636466738,1.10807535913035,1.04143512691496,1.14368191464869,1.08851849000717,1.07682535789537,1.18214832901844,1.13945003049705,1.04672866334663
Dongling,0.792604821794352,0,1.03174716691399,1.00343832638676,0.972371508888874,1.13271442169536,1.10193975526095,1.07273728322245,1.14545162317348,1.11606340776093,1.05363499659167
Gutian,1.11960636466738,1.03174716691399,0,0.7754142762916,0.509805108622255,1.13413449176015,1.16794484853675,1.08526168280164,1.12961628554747,1.11699568424442,1.06503902585913
Shennong,1.10807535913035,1.00343832638676,0.7754142762916,0,0.760028974232252,1.1631186326156,1.18754438051339,1.09342637862963,1.17495219432639,1.13399776823247,1.06276251753584
Tianmu,1.04143512691496,0.972371508888874,0.509805108622255,0.760028974232252,0,1.12857011235189,1.14870866194334,1.08084499525831,1.13004692000985,1.11662136179805,1.06270465727809
Coweeta,1.14368191464869,1.13271442169536,1.13413449176015,1.1631186326156,1.12857011235189,0,0.741932637301239,0.628013745970387,1.00520482731761,0.760224629289938,0.888069561920778
Havard,1.08851849000717,1.10193975526095,1.16794484853675,1.18754438051339,1.14870866194334,0.741932637301239,0,0.743204328124952,1.0571285305257,0.931881531214467,0.741300311329673
Mountain_Lake,1.07682535789537,1.07273728322245,1.08526168280164,1.09342637862963,1.08084499525831,0.628013745970387,0.743204328124952,0,1.03941392938744,0.887489437044787,0.766293903589559
Ordway,1.18214832901844,1.14545162317348,1.12961628554747,1.17495219432639,1.13004692000985,1.00520482731761,1.0571285305257,1.03941392938744,0,0.807541503888877,1.02502167724984
Talladega,1.13945003049705,1.11606340776093,1.11699568424442,1.13399776823247,1.11662136179805,0.760224629289938,0.931881531214467,0.887489437044787,0.807541503888877,0,0.961418100178768
White_Mountain,1.04672866334663,1.05363499659167,1.06503902585913,1.06276251753584,1.06270465727809,0.888069561920778,0.741300311329673,0.766293903589559,1.02502167724984,0.961418100178768,0
