Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,0.944433455960459,1.41166472327597,1.37774003235086,1.27239160655297,1.02374104094782,0.94823284924209,0.928169859913602,1.52107482224983,1.31812778684342,1.06314369518106
Dongling,0.944433455960459,0,1.35573918793852,1.29473275161816,1.21271457422124,1.04221670249407,1.02346167475109,0.984727368044697,1.46820390607212,1.30942796158058,1.1673962769858
Gutian,1.41166472327597,1.35573918793852,0,1.02155363040971,1.02801490543358,1.3714316656462,1.41400112559978,1.27560054168749,1.54011301945896,1.38638699049945,1.34353515714992
Shennong,1.37774003235086,1.29473275161816,1.02155363040971,0,1.00849965973447,1.3754211745974,1.43720893486701,1.26516067676198,1.64831991684311,1.51638799773841,1.41283984530942
Tianmu,1.27239160655297,1.21271457422124,1.02801490543358,1.00849965973447,0,1.30088802152487,1.32942736763372,1.21514178101332,1.52436316314092,1.38691725067601,1.35491393836827
Coweeta,1.02374104094782,1.04221670249407,1.3714316656462,1.3754211745974,1.30088802152487,0,0.993499136362197,0.849145607350391,1.23376896825766,1.11218253137964,1.0472944088423
Havard,0.94823284924209,1.02346167475109,1.41400112559978,1.43720893486701,1.32942736763372,0.993499136362197,0,0.924961637930824,1.25151853868762,1.13704998622231,0.964576430974262
Mountain_Lake,0.928169859913602,0.984727368044697,1.27560054168749,1.26516067676198,1.21514178101332,0.849145607350391,0.924961637930824,0,1.30569418352073,1.1617145354938,1.07126764380431
Ordway,1.52107482224983,1.46820390607212,1.54011301945896,1.64831991684311,1.52436316314092,1.23376896825766,1.25151853868762,1.30569418352073,0,0.982843357643291,1.22900000342721
Talladega,1.31812778684342,1.30942796158058,1.38638699049945,1.51638799773841,1.38691725067601,1.11218253137964,1.13704998622231,1.1617145354938,0.982843357643291,0,1.10930516459362
White_Mountain,1.06314369518106,1.1673962769858,1.34353515714992,1.41283984530942,1.35491393836827,1.0472944088423,0.964576430974262,1.07126764380431,1.22900000342721,1.10930516459362,0
