Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,0.568235504708084,0.710865590311233,0.705488692313514,0.674447244653014,0.728869934718668,0.663872830078256,0.738896994940896,0.807410963152599,0.790815568912175,0.77728347530408
Dongling,0.568235504708084,0,0.716516790139625,0.692965773856537,0.67452183879079,0.72562680342625,0.714914053343614,0.72236965324126,0.806724830004778,0.776255254531211,0.802036577781312
Gutian,0.710865590311233,0.716516790139625,0,0.50361431240172,0.376015796267081,0.758716072801436,0.75853701437537,0.791349371831256,0.772890667757466,0.78100618471217,0.8323468784655
Shennong,0.705488692313514,0.692965773856537,0.50361431240172,0,0.48671083448313,0.773910149300954,0.765461103314547,0.796445971372567,0.799217856319773,0.811904216148361,0.846411823586705
Tianmu,0.674447244653014,0.67452183879079,0.376015796267081,0.48671083448313,0,0.750835852166325,0.739704420572165,0.774862050052887,0.769606010962519,0.778935707086692,0.827613871911388
Coweeta,0.728869934718668,0.72562680342625,0.758716072801436,0.773910149300954,0.750835852166325,0,0.54751301782323,0.471615010162019,0.710669920185293,0.573124204357787,0.683458635704694
Havard,0.663872830078256,0.714914053343614,0.75853701437537,0.765461103314547,0.739704420572165,0.54751301782323,0,0.584393366831773,0.713645424845318,0.665080116021014,0.615667920026771
Mountain_Lake,0.738896994940896,0.72236965324126,0.791349371831256,0.796445971372567,0.774862050052887,0.471615010162019,0.584393366831773,0,0.768820899364286,0.656800861822073,0.62627932146269
Ordway,0.807410963152599,0.806724830004778,0.772890667757466,0.799217856319773,0.769606010962519,0.710669920185293,0.713645424845318,0.768820899364286,0,0.576293999588701,0.78008310209853
Talladega,0.790815568912175,0.776255254531211,0.78100618471217,0.811904216148361,0.778935707086692,0.573124204357787,0.665080116021014,0.656800861822073,0.576293999588701,0,0.722422563682088
White_Mountain,0.77728347530408,0.802036577781312,0.8323468784655,0.846411823586705,0.827613871911388,0.683458635704694,0.615667920026771,0.62627932146269,0.78008310209853,0.722422563682088,0
