Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,254.374119533138,255.326528778812,255.097950711907,252.784934324831,248.884429631052,252.676649560973,250.860341832461,251.575465065062,249.628502828707,259.114646446497
Dongling,254.374119533138,0,257.262471492591,256.759681272153,254.673921935934,251.248425563941,255.660344496103,253.057679955172,253.484291285591,251.332869864925,260.90252231645
Gutian,255.326528778812,257.262471492591,0,256.593258823823,254.723995633781,251.927427550525,256.405635798118,253.349696236938,254.577865653622,251.924732545941,260.964897396987
Shennong,255.097950711907,256.759681272153,256.593258823823,0,254.348217549112,251.823275221958,256.730657427394,252.789077715387,255.090806251862,251.929429366462,260.570516943468
Tianmu,252.784934324831,254.673921935934,254.723995633781,254.348217549112,0,249.62815408099,254.116968334092,251.090533850209,252.13924053695,249.863175128277,259.177713362901
Coweeta,248.884429631052,251.248425563941,251.927427550525,251.823275221958,249.62815408099,0,249.368900349841,247.065732549248,247.589924419054,245.134055426329,254.715585864498
Havard,252.676649560973,255.660344496103,256.405635798118,256.730657427394,254.116968334092,249.368900349841,0,251.966174950408,251.349964108943,249.769123473071,259.39539526251
Mountain_Lake,250.860341832461,253.057679955172,253.349696236938,252.789077715387,251.090533850209,247.065732549248,251.966174950408,0,250.820424938526,247.425370236936,255.611501271981
Ordway,251.575465065062,253.484291285591,254.577865653622,255.090806251862,252.13924053695,247.589924419054,251.349964108943,250.820424938526,0,247.012831632465,258.808865724797
Talladega,249.628502828707,251.332869864925,251.924732545941,251.929429366462,249.863175128277,245.134055426329,249.769123473071,247.425370236936,247.012831632465,0,254.370963905074
White_Mountain,259.114646446497,260.90252231645,260.964897396987,260.570516943468,259.177713362901,254.715585864498,259.39539526251,255.611501271981,258.808865724797,254.370963905074,0
