Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,25.1933899342156,43.7734478340419,40.6163715375794,36.8629274892993,39.3778744208471,30.6599028799563,46.4061801340703,57.9339593388555,58.4075073083301,64.6424471589922
Dongling,25.1933899342156,0,48.2563363545868,44.6766758516264,40.3892221136712,43.8814755067608,39.6372744115652,49.8809047636235,62.1685070434755,60.6705116519802,72.8492799003367
Gutian,43.7734478340419,48.2563363545868,0,20.2447417014996,14.4065948707643,54.6113092100432,51.1219938880765,67.3091423896744,57.5441962404744,62.3247041131306,86.966864566892
Shennong,40.6163715375794,44.6766758516264,20.2447417014996,0,19.866521789731,56.1738207348184,51.6725409678286,68.4018101794149,62.8782926025322,70.3729359659916,93.3354603533998
Tianmu,36.8629274892993,40.3892221136712,14.4065948707643,19.866521789731,0,51.6647497051683,47.2915763470135,63.1770237823425,57.2574134259702,62.049274632414,86.1180796132546
Coweeta,39.3778744208471,43.8814755067608,54.6113092100432,56.1738207348184,51.6647497051683,0,25.947752654134,24.683191309337,45.6773997962418,34.5781157573549,53.0589357732657
Havard,30.6599028799563,39.6372744115652,51.1219938880765,51.6725409678286,47.2915763470135,25.947752654134,0,32.2759523027912,44.9595032198948,42.0536899694088,41.3126332348835
Mountain_Lake,46.4061801340703,49.8809047636235,67.3091423896744,68.4018101794149,63.1770237823425,24.683191309337,32.2759523027912,0,65.2610913261662,50.7053305366287,50.0014932047783
Ordway,57.9339593388555,62.1685070434755,57.5441962404744,62.8782926025322,57.2574134259702,45.6773997962418,44.9595032198948,65.2610913261662,0,32.0792162919912,71.9259536045583
Talladega,58.4075073083301,60.6705116519802,62.3247041131306,70.3729359659916,62.049274632414,34.5781157573549,42.0536899694088,50.7053305366287,32.0792162919912,0,60.7514615462374
White_Mountain,64.6424471589922,72.8492799003367,86.966864566892,93.3354603533998,86.1180796132546,53.0589357732657,41.3126332348835,50.0014932047783,71.9259536045583,60.7514615462374,0
