Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,0.746093090137725,1.54255581936372,1.51418122692427,1.29096592760766,1.16444741352834,0.995207514569444,0.985147356546209,1.78107550248096,1.48142173068628,1.05390806622096
Dongling,0.746093090137725,0,1.45336975475628,1.38019599282885,1.22623510904631,1.21683841833399,1.15678205544754,1.06630327794634,1.73618001968494,1.46763819421769,1.17840308088263
Gutian,1.54255581936372,1.45336975475628,0,0.799246907116402,0.523012151586723,1.46736756531649,1.54339458857158,1.30088502209308,1.73934050676389,1.43966904535386,1.38910735223252
Shennong,1.51418122692427,1.38019599282885,0.799246907116402,0,0.747197312236554,1.48738822081384,1.56469409739099,1.27173671717893,1.9724215535919,1.57575721960907,1.43381436510228
Tianmu,1.29096592760766,1.22623510904631,0.523012151586723,0.747197312236554,0,1.38249703331074,1.41622993749816,1.23289289035656,1.72488858851348,1.43749017838827,1.37716176361058
Coweeta,1.16444741352834,1.21683841833399,1.46736756531649,1.48738822081384,1.38249703331074,0,0.709747243880351,0.516431048613216,1.24198610309127,0.826622619561491,0.90625842837929
Havard,0.995207514569444,1.15678205544754,1.54339458857158,1.56469409739099,1.41622993749816,0.709747243880351,0,0.64776470047744,1.28587873796927,0.996535068506102,0.683778873088821
Mountain_Lake,0.985147356546209,1.06630327794634,1.30088502209308,1.27173671717893,1.23289289035656,0.516431048613216,0.64776470047744,0,1.3294632853519,0.966114206575908,0.778594153859604
Ordway,1.78107550248096,1.73618001968494,1.73934050676389,1.9724215535919,1.72488858851348,1.24198610309127,1.28587873796927,1.3294632853519,0,0.806798855147649,1.21460085600005
Talladega,1.48142173068628,1.46763819421769,1.43966904535386,1.57575721960907,1.43749017838827,0.826622619561491,0.996535068506102,0.966114206575908,0.806798855147649,0,1.03029326591066
White_Mountain,1.05390806622096,1.17840308088263,1.38910735223252,1.43381436510228,1.37716176361058,0.90625842837929,0.683778873088821,0.778594153859604,1.21460085600005,1.03029326591066,0
