Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,0.786250298918184,1.11603629258942,1.10935190276331,1.04173200097731,1.1456280094158,1.09010638987556,1.08264413618536,1.17703858024136,1.14330648036769,1.0490161405122
Dongling,0.786250298918184,0,1.03232488371655,1.00619349618219,0.978882698152094,1.13246566850757,1.10352219775956,1.07725045668535,1.14023570835449,1.1181437624134,1.05645074134501
Gutian,1.11603629258942,1.03232488371655,0,0.777743612379929,0.518365545887753,1.13757846724175,1.17144735332731,1.09277787825144,1.12901480165185,1.12419994382302,1.06909368391264
Shennong,1.10935190276331,1.00619349618219,0.777743612379929,0,0.766361689675542,1.16688256485903,1.19145198945884,1.09943061809851,1.17257563762493,1.14164369920205,1.06652905731765
Tianmu,1.04173200097731,0.978882698152094,0.518365545887753,0.766361689675542,0,1.13447006621465,1.15486673092499,1.08910502760684,1.1292470212721,1.12428061672328,1.06715814770944
Coweeta,1.1456280094158,1.13246566850757,1.13757846724175,1.16688256485903,1.13447006621465,0,0.720509825360429,0.608581486006224,0.996721101618419,0.745008275012553,0.873685766626946
Havard,1.09010638987556,1.10352219775956,1.17144735332731,1.19145198945884,1.15486673092499,0.720509825360429,0,0.71618984161357,1.04806986429167,0.916241531150444,0.724471473539839
Mountain_Lake,1.08264413618536,1.07725045668535,1.09277787825144,1.09943061809851,1.08910502760684,0.608581486006224,0.71618984161357,0,1.03089987309024,0.857912782658406,0.7477262279913
Ordway,1.17703858024136,1.14023570835449,1.12901480165185,1.17257563762493,1.1292470212721,0.996721101618419,1.04806986429167,1.03089987309024,0,0.802017580286846,1.02550181796271
Talladega,1.14330648036769,1.1181437624134,1.12419994382302,1.14164369920205,1.12428061672328,0.745008275012553,0.916241531150444,0.857912782658406,0.802017580286846,0,0.951648332549631
White_Mountain,1.0490161405122,1.05645074134501,1.06909368391264,1.06652905731765,1.06715814770944,0.873685766626946,0.724471473539839,0.7477262279913,1.02550181796271,0.951648332549631,0
