Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,0.562065987438559,0.712124084224248,0.705200389093354,0.676986090855316,0.73093995601123,0.663737268963399,0.730442510095976,0.804261060454191,0.785645351291435,0.771897047846347
Dongling,0.562065987438559,0,0.714925962780784,0.693700701431249,0.675832916104266,0.728191279479264,0.719304791515902,0.721436664080803,0.805788683182439,0.773303404735074,0.795990722845957
Gutian,0.712124084224248,0.714925962780784,0,0.498671170375541,0.377205175764501,0.74583263731961,0.750387782297393,0.7773013781354,0.763051168611886,0.757608240695419,0.829947136661194
Shennong,0.705200389093354,0.693700701431249,0.498671170375541,0,0.47979242476437,0.757015628815207,0.753607945114463,0.780035712856976,0.790993380991308,0.785519712621116,0.840937637680427
Tianmu,0.676986090855316,0.675832916104266,0.377205175764501,0.47979242476437,0,0.739525007831858,0.727854248245492,0.76157360404989,0.760398802420359,0.757880985199684,0.825104464678088
Coweeta,0.73093995601123,0.728191279479264,0.74583263731961,0.757015628815207,0.739525007831858,0,0.533134381477237,0.457539375544965,0.704809482657371,0.562435133313895,0.680587054395336
Havard,0.663737268963399,0.719304791515902,0.750387782297393,0.753607945114463,0.727854248245492,0.533134381477237,0,0.552584940724693,0.704638931345066,0.646000001069282,0.60961440937611
Mountain_Lake,0.730442510095976,0.721436664080803,0.7773013781354,0.780035712856976,0.76157360404989,0.457539375544965,0.552584940724693,0,0.753467636291874,0.629326679109424,0.622816602187081
Ordway,0.804261060454191,0.805788683182439,0.763051168611886,0.790993380991308,0.760398802420359,0.704809482657371,0.704638931345066,0.753467636291874,0,0.56833187761711,0.779127467251576
Talladega,0.785645351291435,0.773303404735074,0.757608240695419,0.785519712621116,0.757880985199684,0.562435133313895,0.646000001069282,0.629326679109424,0.56833187761711,0,0.721571843937695
White_Mountain,0.771897047846347,0.795990722845957,0.829947136661194,0.840937637680427,0.825104464678088,0.680587054395336,0.60961440937611,0.622816602187081,0.779127467251576,0.721571843937695,0
