Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,256.324747116242,257.318357534396,257.388357716803,255.004853313625,252.148983012148,256.035945834493,257.497130482421,254.872711053347,254.246312793244,265.284209617431
Dongling,256.324747116242,0,259.030297904723,258.88686560894,256.68628886623,254.250665359098,258.70372344335,259.444374453121,256.529367396859,255.700777760366,266.773666847249
Gutian,257.318357534396,259.030297904723,0,258.598725964442,256.64550027247,254.818967098978,259.432863263881,259.60310338519,257.597296722543,256.104310004446,266.904204901634
Shennong,257.388357716803,258.88686560894,258.598725964442,0,256.555155927291,254.987236007515,259.967675828508,259.37124364882,258.377067194436,256.395752393542,266.824136310465
Tianmu,255.004853313625,256.68628886623,256.64550027247,256.555155927291,0,252.760990150448,257.391069868015,257.596875644907,255.438768550632,254.271002046672,265.309923005224
Coweeta,252.148983012148,254.250665359098,254.818967098978,254.987236007515,252.760990150448,0,253.855698463817,254.798048337974,252.027480939813,250.940886727555,262.074353091689
Havard,256.035945834493,258.70372344335,259.432863263881,259.967675828508,257.391069868015,253.855698463817,0,259.623143610677,255.894968528926,255.629834833894,266.612653540977
Mountain_Lake,257.497130482421,259.444374453121,259.60310338519,259.37124364882,257.596875644907,254.798048337974,259.623143610677,0,258.465333433048,256.445234401632,266.244191372104
Ordway,254.872711053347,256.529367396859,257.597296722543,258.377067194436,255.438768550632,252.027480939813,255.894968528926,258.465333433048,0,252.951366281602,265.922357864504
Talladega,254.246312793244,255.700777760366,256.104310004446,256.395752393542,254.271002046672,250.940886727555,255.629834833894,256.445234401632,252.951366281602,0,263.099119501632
White_Mountain,265.284209617431,266.773666847249,266.904204901634,266.824136310465,265.309923005224,262.074353091689,266.612653540977,266.244191372104,265.922357864504,263.099119501632,0
