Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,24.9408910912132,44.7041468119085,41.3883662220587,37.8040872368014,39.8732285085832,31.1157368026862,45.6407419642353,57.1048731885642,57.8470140747737,62.7841122437952
Dongling,24.9408910912132,0,48.7690284792755,45.2232163146076,41.049931375357,44.2838676172925,40.3546053197346,49.4534853578294,61.7357158414423,59.7543169766857,70.524322242683
Gutian,44.7041468119085,48.7690284792755,0,19.8153317614748,14.4459776072363,50.7007397939294,48.1858936356854,61.6626806537419,55.7468703025887,56.301524577535,86.9260016722042
Shennong,41.3883662220587,45.2232163146076,19.8153317614748,0,18.8372069742971,50.6025021414588,46.7772419490887,60.8404422469579,60.8420195502631,61.6631515810915,91.1293399025786
Tianmu,37.8040872368014,41.049931375357,14.4459776072363,18.8372069742971,0,48.1609737471165,44.6384408657202,58.0767701548832,55.7051270528501,56.3355369760801,84.6139517082562
Coweeta,39.8732285085832,44.2838676172925,50.7007397939294,50.6025021414588,48.1609737471165,0,25.4506688341452,24.1327079190145,44.929206423623,33.9188160569919,53.8275497559762
Havard,31.1157368026862,40.3546053197346,48.1858936356854,46.7772419490887,44.6384408657202,25.4506688341452,0,30.6055484044595,43.2011742439775,39.7802437046903,41.1642269787064
Mountain_Lake,45.6407419642353,49.4534853578294,61.6626806537419,60.8404422469579,58.0767701548832,24.1327079190145,30.6055484044595,0,62.8187686428663,47.9545791071008,49.8717637075436
Ordway,57.1048731885642,61.7357158414423,55.7468703025887,60.8420195502631,55.7051270528501,44.929206423623,43.2011742439775,62.8187686428663,0,32.156070934593,71.5462310736861
Talladega,57.8470140747737,59.7543169766857,56.301524577535,61.6631515810915,56.3355369760801,33.9188160569919,39.7802437046903,47.9545791071008,32.156070934593,0,61.8658554417603
White_Mountain,62.7841122437952,70.524322242683,86.9260016722042,91.1293399025786,84.6139517082562,53.8275497559762,41.1642269787064,49.8717637075436,71.5462310736861,61.8658554417603,0
