Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,0.547358385631184,1.49310961335584,1.31099191263521,1.31428196836339,1.24655346668124,0.926050117133492,0.958463323276951,1.43421247044905,1.40456329136422,0.83430921680731
Dongling,0.547358385631184,0,1.30841781620848,1.24037975895469,1.2670441944375,1.31419583957263,1.13479176278083,1.09777323123552,1.37501824833526,1.23927529261364,0.903121661640599
Gutian,1.49310961335584,1.30841781620848,0,0.79224584130517,0.633516881596745,1.41425362959681,1.39756639498831,1.21638257453931,1.06897437349021,1.30129907819461,1.44939594431077
Shennong,1.31099191263521,1.24037975895469,0.79224584130517,0,0.729797390075888,1.24915853682182,1.1919824292586,1.07440983208319,1.20855333394797,1.22092010171732,1.29990916334335
Tianmu,1.31428196836339,1.2670441944375,0.633516881596745,0.729797390075888,0,1.41082509666521,1.35283033898219,1.2231142714094,1.19100169364117,1.31637031398241,1.42463367252091
Coweeta,1.24655346668124,1.31419583957263,1.41425362959681,1.24915853682182,1.41082509666521,0,0.612699001279993,0.474893182106828,1.01981952799179,0.770972067257804,0.964856005433246
Havard,0.926050117133492,1.13479176278083,1.39756639498831,1.1919824292586,1.35283033898219,0.612699001279993,0,0.317860700165587,1.05175830709201,0.858784161368563,0.626149747091105
Mountain_Lake,0.958463323276951,1.09777323123552,1.21638257453931,1.07440983208319,1.2231142714094,0.474893182106828,0.317860700165587,0,0.944118845854053,0.751531436698813,0.621750609404187
Ordway,1.43421247044905,1.37501824833526,1.06897437349021,1.20855333394797,1.19100169364117,1.01981952799179,1.05175830709201,0.944118845854053,0,0.847635119404293,1.17387563405113
Talladega,1.40456329136422,1.23927529261364,1.30129907819461,1.22092010171732,1.31637031398241,0.770972067257804,0.858784161368563,0.751531436698813,0.847635119404293,0,1.05876771636643
White_Mountain,0.83430921680731,0.903121661640599,1.44939594431077,1.29990916334335,1.42463367252091,0.964856005433246,0.626149747091105,0.621750609404187,1.17387563405113,1.05876771636643,0
