Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,0.789082934465371,1.4336411989736,1.21019071532018,1.3026108373493,1.09628956023424,0.83076891568589,0.848071386752634,1.28309713600993,1.235252329056,0.7839145006985
Dongling,0.789082934465371,0,1.27495928594399,1.22194903133756,1.22158497432853,1.18968766006986,1.00721197069553,0.990124261917118,1.28580368278324,1.12186515788345,0.834305252810047
Gutian,1.4336411989736,1.27495928594399,0,0.972059922182579,1.01938395276997,1.19139736956135,1.15074199480982,1.02584163327445,0.962500435506467,1.06883599919434,1.29371037633236
Shennong,1.21019071532018,1.22194903133756,0.972059922182579,0,0.853397278718035,1.0171396817521,0.963925699748838,0.908368752177167,1.07335710933755,0.974263331800757,1.16462503751362
Tianmu,1.3026108373493,1.22158497432853,1.01938395276997,0.853397278718035,0,1.16123320887497,1.10322131742556,1.02639596714698,1.08070676519683,1.0706662601704,1.26882563542495
Coweeta,1.09628956023424,1.18968766006986,1.19139736956135,1.0171396817521,1.16123320887497,0,1.29671987687131,1.07631004504019,1.16819256619345,1.23137385276842,1.29343497992542
Havard,0.83076891568589,1.00721197069553,1.15074199480982,0.963925699748838,1.10322131742556,1.29671987687131,0,0.769530335129865,1.1503423830516,1.14437451851692,1.19770262780353
Mountain_Lake,0.848071386752634,0.990124261917118,1.02584163327445,0.908368752177167,1.02639596714698,1.07631004504019,0.769530335129865,0,1.0475741510865,1.15384165046449,1.02352742725335
Ordway,1.28309713600993,1.28580368278324,0.962500435506467,1.07335710933755,1.08070676519683,1.16819256619345,1.1503423830516,1.0475741510865,0,1.18008636195157,1.15088043590745
Talladega,1.235252329056,1.12186515788345,1.06883599919434,0.974263331800757,1.0706662601704,1.23137385276842,1.14437451851692,1.15384165046449,1.18008636195157,0,1.189166750883
White_Mountain,0.7839145006985,0.834305252810047,1.29371037633236,1.16462503751362,1.26882563542495,1.29343497992542,1.19770262780353,1.02352742725335,1.15088043590745,1.189166750883,0
