Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,0.375434922652546,0.629458214485121,0.633960010392181,0.624389158507464,0.628283210790137,0.54228381937472,0.567937900251254,0.699881354501729,0.677104753835478,0.610554701012374
Dongling,0.375434922652546,0,0.624348339832822,0.667048344926231,0.650914190324746,0.66544405003646,0.664974593701349,0.637810579270122,0.693639828640737,0.685273770245153,0.617031541102487
Gutian,0.629458214485121,0.624348339832822,0,0.379410550985342,0.305268390956489,0.580134606542717,0.594356669480794,0.593767639457012,0.578545930701563,0.542411011601637,0.743542701584119
Shennong,0.633960010392181,0.667048344926231,0.379410550985342,0,0.361573996136875,0.542604235617196,0.547512093260787,0.592963953193946,0.63939968886518,0.543944812342099,0.736808290701705
Tianmu,0.624389158507464,0.650914190324746,0.305268390956489,0.361573996136875,0,0.603167521624601,0.573241160368958,0.606985104740906,0.60975533182364,0.595211562794022,0.765687246746058
Coweeta,0.628283210790137,0.66544405003646,0.580134606542717,0.542604235617196,0.603167521624601,0,0.36664154900046,0.316872863815976,0.596751499225275,0.43060762981188,0.572828387268556
Havard,0.54228381937472,0.664974593701349,0.594356669480794,0.547512093260787,0.573241160368958,0.36664154900046,0,0.230693689633642,0.596692900426252,0.487854823810954,0.489010063540665
Mountain_Lake,0.567937900251254,0.637810579270122,0.593767639457012,0.592963953193946,0.606985104740906,0.316872863815976,0.230693689633642,0,0.581127667196764,0.455805227382841,0.478698421394067
Ordway,0.699881354501729,0.693639828640737,0.578545930701563,0.63939968886518,0.60975533182364,0.596751499225275,0.596692900426252,0.581127667196764,0,0.494526429998059,0.686046646165346
Talladega,0.677104753835478,0.685273770245153,0.542411011601637,0.543944812342099,0.595211562794022,0.43060762981188,0.487854823810954,0.455805227382841,0.494526429998059,0,0.632679823520282
White_Mountain,0.610554701012374,0.617031541102487,0.743542701584119,0.736808290701705,0.765687246746058,0.572828387268556,0.489010063540665,0.478698421394067,0.686046646165346,0.632679823520282,0
