Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,277.096315792886,278.372144805797,277.540927449679,273.794219366207,281.650015309018,291.131548821764,304.232369497837,304.364525048782,287.710374949345,308.240021132466
Dongling,277.096315792886,0,273.177684272407,275.858607093924,270.555061291649,276.521666433636,286.502318647811,302.671952404093,296.273361087179,281.025442086096,305.103162743204
Gutian,278.372144805797,273.177684272407,0,267.20134525936,263.350778499528,272.211678271767,284.116116298712,298.179551259515,292.765430786316,277.455871238968,308.114984250333
Shennong,277.540927449679,275.858607093924,267.20134525936,0,263.953253305775,273.135903252229,284.329145245035,297.627994821015,295.971644244559,278.857419896077,306.834550343403
Tianmu,273.794219366207,270.555061291649,263.350778499528,263.953253305775,0,269.433539470729,281.442882908657,295.054528346737,291.722985978463,274.618427086645,304.91534642083
Coweeta,281.650015309018,276.521666433636,272.211678271767,273.135903252229,269.433539470729,0,284.596595961033,298.578645368978,295.747326117586,279.532271003156,308.325286116388
Havard,291.131548821764,286.502318647811,284.116116298712,284.329145245035,281.442882908657,284.596595961033,0,307.095569914674,306.115731921644,290.948198693741,313.092984586957
Mountain_Lake,304.232369497837,302.671952404093,298.179551259515,297.627994821015,295.054528346737,298.578645368978,307.095569914674,0,318.367524568306,303.723488906005,325.471250697942
Ordway,304.364525048782,296.273361087179,292.765430786316,295.971644244559,291.722985978463,295.747326117586,306.115731921644,318.367524568306,0,299.273460103628,326.790286760041
Talladega,287.710374949345,281.025442086096,277.455871238968,278.857419896077,274.618427086645,279.532271003156,290.948198693741,303.723488906005,299.273460103628,0,313.690982793199
White_Mountain,308.240021132466,305.103162743204,308.114984250333,306.834550343403,304.91534642083,308.325286116388,313.092984586957,325.471250697942,326.790286760041,313.690982793199,0
