Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,40.8828495259195,91.0064018137527,79.7247762692242,79.4248655520013,77.386673919555,59.1523498216891,69.5053363163099,116.145520349794,90.6921289641341,77.1492186408795
Dongling,40.8828495259195,0,93.6025187888766,89.9351600015507,91.8287230488355,95.3214363273588,85.6967246021531,88.8972168926937,123.119018180679,90.4338207741932,85.9934009593902
Gutian,91.0064018137527,93.6025187888766,0,23.9132138741377,21.0530070096292,58.6659115431357,59.6572253276455,68.2321899316015,64.0051628324246,53.7507305629652,124.964264223418
Shennong,79.7247762692242,89.9351600015507,23.9132138741377,0,21.4639924644424,51.721995638154,50.1566678901973,61.6329203997218,74.7577921943871,48.3924116363078,114.367201621121
Tianmu,79.4248655520013,91.8287230488355,21.0530070096292,21.4639924644424,0,60.1182162703702,59.8439893628268,70.0338095565399,72.047592486508,55.3696808284063,121.368050786301
Coweeta,77.386673919555,95.3214363273588,58.6659115431357,51.721995638154,60.1182162703702,0,31.5830547189892,30.44960883874,69.7433101536839,39.4201151204868,85.6301810463196
Havard,59.1523498216891,85.6967246021531,59.6572253276455,50.1566678901973,59.8439893628268,31.5830547189892,0,19.5395067730404,75.0575899395247,44.6083169373315,58.7686756732022
Mountain_Lake,69.5053363163099,88.8972168926937,68.2321899316015,61.6329203997218,70.0338095565399,30.44960883874,19.5395067730404,0,76.7023215583533,50.062730964216,64.1252294444445
Ordway,116.145520349794,123.119018180679,64.0051628324246,74.7577921943871,72.047592486508,69.7433101536839,75.0575899395247,76.7023215583533,0,59.9686634652016,120.68570109759
Talladega,90.6921289641341,90.4338207741932,53.7507305629652,48.3924116363078,55.3696808284063,39.4201151204868,44.6083169373315,50.062730964216,59.9686634652016,0,95.2064305441713
White_Mountain,77.1492186408795,85.9934009593902,124.964264223418,114.367201621121,121.368050786301,85.6301810463196,58.7686756732022,64.1252294444445,120.68570109759,95.2064305441713,0
