"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs","NTI"
"Changbai",1140,28.9345496814645,35.3317707258089,1.16256729043778,1,-5.50266732683956,0.001,999,5.50266732683956
"Dongling",773,32.0498531630004,41.1146795169069,1.56048379257649,1,-5.80898462196758,0.001,999,5.80898462196758
"Gutian",1209,34.3675979719505,34.5460974889312,1.06875001610082,435,-0.167017089395632,0.435,999,0.167017089395632
"Shennong",1559,29.3882272545983,31.489520601976,0.861409409731751,10,-2.43936660505251,0.01,999,2.43936660505251
"Tianmu",1188,32.7817641525151,34.8582629494227,1.09534674617049,33,-1.89574562043238,0.033,999,1.89574562043238
"Coweeta",681,35.7046427550254,43.1744856704642,1.78666219965549,1,-4.18089268182828,0.001,999,4.18089268182828
"Havard",897,31.8567302909883,38.7446231285165,1.42798608519113,1,-4.8235013694873,0.001,999,4.8235013694873
"Mountain_Lake",381,44.3866480017808,54.7801868387397,2.88323762410577,1,-3.60481520845248,0.001,999,3.60481520845248
"Ordway",749,35.0631662438351,41.5861338746589,1.52269575494844,1,-4.283828604385,0.001,999,4.283828604385
"Talladega",533,43.4076879474494,47.6534980798224,2.18783187185349,24,-1.94064735366346,0.024,999,1.94064735366346
"White_Mountain",254,54.3393652463167,65.0256373789421,3.82906595065282,5,-2.79083000145335,0.005,999,2.79083000145335
