"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"Changbai",1140,253.775725389583,256.536073038694,2.50505096319244,127,-1.10191277130504,0.127,999,1.10191277130504
"Dongling",773,257.791345394544,256.460335883348,3.2712117146194,660,0.406885774237013,0.66,999,-0.406885774237013
"Gutian",1209,258.62026533049,256.538309627394,2.33801620950816,810,0.890479584627927,0.81,999,-0.890479584627927
"Shennong",1559,258.23396294521,256.642132397999,1.98625473097636,789,0.801423162087595,0.789,999,-0.801423162087595
"Tianmu",1188,254.598009017872,256.52362031422,2.4094295791991,226,-0.799197998137202,0.226,999,0.799197998137202
"Coweeta",681,249.631419657414,256.51518073053,3.3593263525254,13,-2.04914924920626,0.013,999,2.04914924920626
"Havard",897,257.599292725822,256.560899533323,2.94221362354284,645,0.352929231307422,0.645,999,-0.352929231307422
"Mountain_Lake",381,259.660019254743,256.548190707892,4.49669128901016,755,0.692026280402468,0.755,999,-0.692026280402468
"Ordway",749,251.952989148328,256.615551271289,3.30625405028837,76,-1.41022500147995,0.076,999,1.41022500147995
"Talladega",533,251.896858128043,256.282504445179,3.73571865363149,116,-1.1739766089913,0.116,999,1.1739766089913
"White_Mountain",254,271.886495227372,256.525863498431,5.81260531128654,988,2.6426414501454,0.988,999,-2.6426414501454
