"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"Changbai",1140,27136.4796971547,32685.2405158753,622.047819628498,1,-8.92015154403154,0.001,999
"Dongling",773,21413.2566843138,25726.3196374759,569.366177373134,1,-7.57520050288399,0.001,999
"Gutian",1209,34287.3624036173,33936.720383107,622.197115613373,714,0.563554558051422,0.714,999
"Shennong",1559,38684.0720842747,39693.4945884561,642.365002238945,52,-1.57141578489333,0.052,999
"Tianmu",1188,33176.2625825182,33570.8692382456,629.50863259769,267,-0.626848680532059,0.267,999
"Coweeta",681,20877.2640436142,23855.1970267247,556.745947032417,1,-5.34881843142926,0.001,999
"Havard",897,24373.127914796,28245.8906857403,611.097226378249,1,-6.33739215917704,0.001,999
"Mountain_Lake",381,14836.4584601923,16613.3829377658,492.544467558238,1,-3.60764275027275,0.001,999
"Ordway",749,22192.7104469212,25237.923535392,582.662470708651,1,-5.22637588922996,0.001,999
"Talladega",533,18968.564690672,20465.7239063969,517.335471805129,2,-2.89398136667661,0.002,999
"White_Mountain",254,11289.3564695411,12815.6944097189,437.521109332497,2,-3.48860410988268,0.002,999
