"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs","NTI"
"Changbai",1094,28.8875682785397,35.1742131775994,1.17185327085053,1,-5.3647031206363,0.001,999,5.3647031206363
"Dongling",739,31.7767533844313,40.922772818328,1.61380505209242,1,-5.66736324318612,0.001,999,5.66736324318612
"Gutian",1110,34.6422322448835,34.9614578375416,1.15387838729271,404,-0.276654451780743,0.404,999,0.276654451780743
"Shennong",1418,29.4534782005233,31.9569090221358,0.956562250930716,9,-2.61711228848585,0.009,999,2.61711228848585
"Tianmu",1080,33.06748720583,35.3093675896299,1.19801601548154,21,-1.87132755725202,0.021,999,1.87132755725202
"Coweeta",616,34.3797141500102,43.9251753046761,1.828679222642,1,-5.21986635845018,0.001,999,5.21986635845018
"Havard",833,31.6315644480678,39.0632413270673,1.46164493389628,1,-5.08446114829616,0.001,999,5.08446114829616
"Mountain_Lake",336,42.4547518821937,56.4234442255147,3.02211529471758,1,-4.62215732395691,0.001,999,4.62215732395691
"Ordway",711,34.1105325739939,41.5094493651657,1.69093560905808,1,-4.37563485654739,0.001,999,4.37563485654739
"Talladega",468,41.6972908865483,49.180591498924,2.28086873628509,1,-3.28089928777049,0.001,999,3.28089928777049
"White_Mountain",227,56.7331138151615,66.977944590045,4.1673640881177,6,-2.45834790487694,0.006,999,2.45834790487694
