"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"Changbai",1094,251.558498345332,253.0907666833,2.23764039396384,271,-0.684769698518607,0.271,999,0.684769698518607
"Dongling",739,256.03117193965,253.06895791525,2.72605848463401,862,1.08662893371406,0.862,999,-1.08662893371406
"Gutian",1110,256.88729295472,253.125521116933,2.19520681927158,958,1.7136298068879,0.958,999,-1.7136298068879
"Shennong",1418,255.905679709177,253.00781990938,1.84296148828912,938,1.57239303057139,0.938,999,-1.57239303057139
"Tianmu",1080,252.464350399173,253.071506406027,2.20609254585441,402,-0.275217831633989,0.402,999,0.275217831633989
"Coweeta",616,245.237983386598,252.909572342022,3.08794709216114,2,-2.48436541380473,0.002,999,2.48436541380473
"Havard",833,252.998374667039,253.059149111322,2.52869317971144,515,-0.0240339337214901,0.515,999,0.0240339337214901
"Mountain_Lake",336,248.584210013393,252.969731714455,4.22539892560231,155,-1.03789530368129,0.155,999,1.03789530368129
"Ordway",711,247.294992339955,252.885590078358,2.79463265281443,17,-2.00047678279742,0.017,999,2.00047678279742
"Talladega",468,244.598857277676,253.030377084693,3.59473411957071,3,-2.34551973151886,0.003,999,2.34551973151886
"White_Mountain",227,261.593953207923,253.041548846255,5.40775160318377,930,1.58150835859989,0.93,999,-1.58150835859989
