"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"Changbai",1094,25857.2356701656,31145.7478505282,581.633857366904,1,-9.09251088701061,0.001,999
"Dongling",739,20475.0900773616,24467.6382573748,587.787321182823,1,-6.79250476512314,0.001,999
"Gutian",1110,31689.5070050976,31441.9008278288,619.602406815233,653,0.399621070778984,0.653,999
"Shennong",1418,35714.0796764864,36527.5856249766,673.020022328468,112,-1.20873959392137,0.112,999
"Tianmu",1080,30462.2166542962,30896.2756714337,633.381305746958,250,-0.68530443383636,0.25,999
"Coweeta",616,18490.9906367312,21868.1970543632,543.403053736645,1,-6.2149198360389,0.001,999
"Havard",833,22277.740655908,26346.864141013,577.502738431111,1,-7.04606786135682,0.001,999
"Mountain_Lake",336,12706.6142860616,14975.0170870918,486.261820307985,1,-4.66498233316663,0.001,999
"Ordway",711,20660.2356057905,23876.4271745515,562.800029885889,1,-5.71462579597439,0.001,999
"Talladega",468,16177.5067515262,18413.0551185468,493.82220404723,1,-4.52703088014002,0.001,999
"White_Mountain",227,10311.1153684104,11633.3234264951,437.009257946799,4,-3.02558363247693,0.004,999
