"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs","NTI"
"Changbai",1094,28.8875682785397,35.118634156109,1.14253906811921,1,-5.45370049168344,0.001,999,5.45370049168344
"Dongling",739,31.7767533844313,40.9097416269077,1.62059259793168,1,-5.63558555933962,0.001,999,5.63558555933962
"Gutian",1110,34.6422322448835,34.9537026966848,1.16966360861836,381,-0.266290623651434,0.381,999,0.266290623651434
"Shennong",1418,29.4534782005233,31.9467276271803,0.946150588038553,6,-2.63515074468824,0.006,999,2.63515074468824
"Tianmu",1080,33.06748720583,35.3113269422515,1.21806143063316,40,-1.84214004317923,0.04,999,1.84214004317923
"Coweeta",616,34.3797141500102,43.8640119998228,1.79220852359332,1,-5.29196113340472,0.001,999,5.29196113340472
"Havard",833,31.6315644480678,39.0668324023319,1.45934727181038,1,-5.09492709370018,0.001,999,5.09492709370018
"Mountain_Lake",336,42.4547518821937,56.5492849687873,2.95045058066142,1,-4.77707817882988,0.001,999,4.77707817882988
"Ordway",711,34.1105325739939,41.5394243549895,1.70989247249849,1,-4.34465435720676,0.001,999,4.34465435720676
"Talladega",468,41.6972908865483,49.2448752756578,2.32382336383677,3,-3.2479165613724,0.003,999,3.2479165613724
"White_Mountain",227,56.7331138151615,66.6287554482668,4.34288783474554,9,-2.278585588588,0.009,999,2.278585588588
