"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"Changbai",1094,251.558498345332,253.017257433293,2.22474933270347,261,-0.655695932353846,0.261,999,0.655695932353846
"Dongling",739,256.03117193965,253.08319856633,2.91752326710588,836,1.01043697116594,0.836,999,-1.01043697116594
"Gutian",1110,256.88729295472,252.959689187468,2.27303854037895,953,1.72790900703228,0.953,999,-1.72790900703228
"Shennong",1418,255.905679709177,253.016265148648,1.83029975241361,935,1.57865647783573,0.935,999,-1.57865647783573
"Tianmu",1080,252.464350399173,253.060447861916,2.23249455910691,404,-0.267009592615036,0.404,999,0.267009592615036
"Coweeta",616,245.237983386598,253.119628687624,3.18823170369995,4,-2.4721055536456,0.004,999,2.4721055536456
"Havard",833,252.998374667039,252.977481243189,2.58544090266369,523,0.00808118407528518,0.523,999,-0.00808118407528518
"Mountain_Lake",336,248.584210013393,253.069057418594,4.38352955657732,136,-1.02311330340446,0.136,999,1.02311330340446
"Ordway",711,247.294992339955,253.163159089804,2.92052342282834,16,-2.00928597387039,0.016,999,2.00928597387039
"Talladega",468,244.598857277676,253.196913214266,3.50855900530588,4,-2.45059465255897,0.004,999,2.45059465255897
"White_Mountain",227,261.593953207923,253.008020264451,5.25869092611301,935,1.63271298201547,0.935,999,-1.63271298201547
