"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"Changbai",46,2859.62159103678,3320.07543724418,219.323770957437,22,-2.09942517492442,0.022,999
"Dongling",34,2210.310957,2815.9565827815,213.774581339178,7,-2.83310402007323,0.007,999
"Gutian",99,5196.69858021775,4904.68649272402,257.829985895943,859,1.13257612949479,0.859,999
"Shennong",141,5788.70057377547,5824.09325364668,251.666100862094,460,-0.140633481227601,0.46,999
"Tianmu",108,5348.351255209,5116.6772370596,253.891773024242,821,0.912491237466274,0.821,999
"Coweeta",65,4367.4386511307,3976.64531448129,235.99266409356,952,1.65595544315091,0.952,999
"Havard",64,3956.1645671307,3946.86976761472,238.844713448666,517,0.0389156593913218,0.517,999
"Mountain_Lake",45,3625.557523,3289.74411874882,223.501204342394,933,1.50251272801522,0.933,999
"Ordway",38,2947.9532361307,3000.75637933687,219.403228519119,407,-0.240667120363597,0.407,999
"Talladega",65,4312.44719658858,3984.55941746995,236.396933388922,920,1.38702213441658,0.92,999
"White_Mountain",27,2045.609869,2462.18091236399,206.081462583012,31,-2.02139017329707,0.031,999
