Species,genus,family,order,group
Podocarpus_macrophyllus,Podocarpus,Podocarpaceae,Pinales,Gymnosperms
Nageia_nagi,Nageia,Podocarpaceae,Pinales,Gymnosperms
Cunninghamia_lanceolata,Cunninghamia,Cupressaceae,Pinales,Gymnosperms
Cryptomeria_japonica,Cryptomeria,Cupressaceae,Pinales,Gymnosperms
Taxodium_distichum,Taxodium,Cupressaceae,Pinales,Gymnosperms
Taxodium_distichum_var._imbricatum,Taxodium,Cupressaceae,Pinales,Gymnosperms
Juniperus_virginiana_var._silicicola,Juniperus,Cupressaceae,Pinales,Gymnosperms
Juniperus_virginiana,Juniperus,Cupressaceae,Pinales,Gymnosperms
Juniperus_chinensis,Juniperus,Cupressaceae,Pinales,Gymnosperms
Juniperus_communis,Juniperus,Cupressaceae,Pinales,Gymnosperms
Juniperus_formosana,Juniperus,Cupressaceae,Pinales,Gymnosperms
Juniperus_rigida,Juniperus,Cupressaceae,Pinales,Gymnosperms
Cupressus_leylandii,Cupressus,Cupressaceae,Pinales,Gymnosperms
Callitropsis_funebris,Callitropsis,Cupressaceae,Pinales,Gymnosperms
Platycladus_orientalis,Platycladus,Cupressaceae,Pinales,Gymnosperms
Thuja_occidentalis,Thuja,Cupressaceae,Pinales,Gymnosperms
Thuja_koraiensis,Thuja,Cupressaceae,Pinales,Gymnosperms
Metasequoia_glyptostroboides,Metasequoia,Cupressaceae,Pinales,Gymnosperms
Torreya_grandis,Torreya,Taxaceae,Pinales,Gymnosperms
Amentotaxus_argotaenia,Amentotaxus,Taxaceae,Pinales,Gymnosperms
Cephalotaxus_oliveri,Cephalotaxus,Taxaceae,Pinales,Gymnosperms
Cephalotaxus_sinensis,Cephalotaxus,Taxaceae,Pinales,Gymnosperms
Cephalotaxus_fortunei,Cephalotaxus,Taxaceae,Pinales,Gymnosperms
Taxus_cuspidata,Taxus,Taxaceae,Pinales,Gymnosperms
Taxus_canadensis,Taxus,Taxaceae,Pinales,Gymnosperms
Taxus_wallichiana_var._chinensis,Taxus,Taxaceae,Pinales,Gymnosperms
Larix_kaempferi,Larix,Pinaceae,Pinales,Gymnosperms
Larix_gmelinii,Larix,Pinaceae,Pinales,Gymnosperms
Larix_sp,Larix,Pinaceae,Pinales,Gymnosperms
Larix_gmelinii_var._principis-rupprechtii,Larix,Pinaceae,Pinales,Gymnosperms
Larix_gmelinii_var._olgensis,Larix,Pinaceae,Pinales,Gymnosperms
Larix_laricina,Larix,Pinaceae,Pinales,Gymnosperms
Pseudotsuga_sinensis,Pseudotsuga,Pinaceae,Pinales,Gymnosperms
Pinus_taiwanensis,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_tabuliformis,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_densiflora,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_resinosa,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_sylvestris,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_massoniana,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_banksiana,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_clausa,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_virginiana,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_palustris,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_rigida,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_taeda,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_pungens,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_elliottii,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_echinata,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_henryi,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_pumila,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_koraiensis,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_armandii,Pinus,Pinaceae,Pinales,Gymnosperms
Pinus_strobus,Pinus,Pinaceae,Pinales,Gymnosperms
Picea_mariana,Picea,Pinaceae,Pinales,Gymnosperms
Picea_rubens,Picea,Pinaceae,Pinales,Gymnosperms
Picea_pungens,Picea,Pinaceae,Pinales,Gymnosperms
Picea_abies,Picea,Pinaceae,Pinales,Gymnosperms
Picea_koraiensis,Picea,Pinaceae,Pinales,Gymnosperms
Picea_meyeri,Picea,Pinaceae,Pinales,Gymnosperms
Picea_obovata,Picea,Pinaceae,Pinales,Gymnosperms
Picea_glauca,Picea,Pinaceae,Pinales,Gymnosperms
Abies_holophylla,Abies,Pinaceae,Pinales,Gymnosperms
Abies_balsamea,Abies,Pinaceae,Pinales,Gymnosperms
Abies_fraseri,Abies,Pinaceae,Pinales,Gymnosperms
Abies_nephrolepis,Abies,Pinaceae,Pinales,Gymnosperms
Keteleeria_davidiana,Keteleeria,Pinaceae,Pinales,Gymnosperms
Pseudolarix_amabilis,Pseudolarix,Pinaceae,Pinales,Gymnosperms
Tsuga_canadensis,Tsuga,Pinaceae,Pinales,Gymnosperms
Tsuga_chinensis,Tsuga,Pinaceae,Pinales,Gymnosperms
Tsuga_caroliniana,Tsuga,Pinaceae,Pinales,Gymnosperms
Cedrus_deodara,Cedrus,Pinaceae,Pinales,Gymnosperms
