,genus,family,order,group
Nymphaea_tetragona,Nymphaea,Nymphaeaceae,Nymphaeales,Angiosperms
Nymphaea_odorata,Nymphaea,Nymphaeaceae,Nymphaeales,Angiosperms
Podocarpus_macrophyllus,Podocarpus,Podocarpaceae,Pinales,Gymnosperms
Nageia_nagi,Nageia,Podocarpaceae,Pinales,Gymnosperms
Corynandra_viscosa,Corynandra,NA,NA,NA
Schizonepeta_tenuifolia,Schizonepeta,NA,NA,NA
Erythranthe_microphylla,Erythranthe,NA,NA,NA
Erythranthe_nepalensis,Erythranthe,NA,NA,NA
Glecoma_hederacea,Glecoma,NA,NA,NA
Cartrema_americana,Cartrema,NA,NA,NA
Edrastima_uniflora,Edrastima,NA,NA,NA
Lisianthus_martii,Lisianthus,NA,NA,NA
Cephalonoplos_segetum,Cephalonoplos,NA,NA,NA
Diervillea_sessilifolia,Diervillea,NA,NA,NA
Spuriopimpinella_arguta,Spuriopimpinella,NA,NA,NA
Spuriopimpinella_brachycarpa,Spuriopimpinella,NA,NA,NA
Rupiphila_tachiroei,Rupiphila,NA,NA,NA
Chenopodiastrum_hybridum,Chenopodiastrum,NA,NA,NA
Myosoton_aquaticum,Myosoton,NA,NA,NA
Pseudocherleria_macrocarpa,Pseudocherleria,NA,NA,NA
Pseudocherleria_laricina,Pseudocherleria,NA,NA,NA
Rohrbachia_minima,Rohrbachia,NA,NA,NA
Phanopyrum_gymnocarpon,Phanopyrum,NA,NA,NA
Neomolinia_fauriei,Neomolinia,NA,NA,NA
Neomolinia_mandshurica,Neomolinia,NA,NA,NA
Patis_racemosa,Patis,NA,NA,NA
Patis_coreana,Patis,NA,NA,NA
Websteria_confervoides,Websteria,NA,NA,NA
