country ,Site,Latitute,Longitude,Species,SES-PD,NRI,NTI
USA,White_Mountain,44.06 ,-71.29 ,214,-0.9037 ,-2.9812 ,1.4643 
USA,Havard,42.54 ,-72.17 ,800,-3.1988 ,-1.4045 ,2.1961 
USA,Mountain_Lake,37.38 ,-80.52 ,296,-0.1276 ,-1.0304 ,1.4078 
USA,Coweeta,35.05 ,-83.45 ,583,-1.5632 ,1.5398 ,1.4941 
USA,Talladega,32.92 ,-87.42 ,349,1.0587 ,0.0820 ,-0.4343 
China,Ordway,29.69 ,-81.99 ,632,-0.9554 ,1.4901 ,0.6334 
China,Changbai,42.06 ,128.00 ,1141 ,-8.7786 ,1.4254 ,4.9874 
China,Dongling,39.93 ,115.50 ,773 ,-7.2485 ,-0.2965 ,5.1409 
China,Shennong,31.49 ,110.31 ,1559 ,-0.0766 ,-0.6970 ,1.3081 
China,Tianmu,30.37 ,119.44 ,1188 ,0.6353 ,1.1078 ,0.6703 
China,Gutian,29.24 ,118.13 ,1209 ,1.9612 ,-0.7436 ,-1.0713 
