"name","longitude","latitude","scientificName","order","family","genus","species","genericName","specificEpithet","country"
"Arisaema triphyllum (L.) Schott",-80.522624,37.375715,"Arisaema triphyllum (L.) Schott","Alismatales","Araceae","Arisaema","Arisaema triphyllum","Arisaema","triphyllum","United States of America"
"Rhododendron calendulaceum Torr.",-80.522747,37.375136,"Rhododendron calendulaceum Torr.","Ericales","Ericaceae","Rhododendron","Rhododendron calendulaceum","Rhododendron","calendulaceum","United States of America"
"Lysimachia borealis (Raf.) U.Manns & Anderb.",-80.526821,37.375211,"Lysimachia borealis (Raf.) U.Manns & Anderb.","Ericales","Primulaceae","Lysimachia","Lysimachia borealis","Lysimachia","borealis","United States of America"
"Arisaema triphyllum (L.) Schott",-80.523318,37.37571,"Arisaema triphyllum (L.) Schott","Alismatales","Araceae","Arisaema","Arisaema triphyllum","Arisaema","triphyllum","United States of America"
"Monotropa uniflora L.",-80.521427,37.374133,"Monotropa uniflora L.","Ericales","Ericaceae","Monotropa","Monotropa uniflora","Monotropa","uniflora","United States of America"
"Acer saccharum Marshall",-80.522592,37.37564,"Acer saccharum Marshall","Sapindales","Sapindaceae","Acer","Acer saccharum","Acer","saccharum","United States of America"
"Hemerocallis fulva L.",-80.524115,37.375382,"Hemerocallis fulva L.","Asparagales","Asphodelaceae","Hemerocallis","Hemerocallis fulva","Hemerocallis","fulva","United States of America"
"Silene virginica L.",-80.522405,37.375406,"Silene virginica L.","Caryophyllales","Caryophyllaceae","Silene","Silene virginica","Silene","virginica","United States of America"
"Tussilago farfara L.",-80.523412,37.376202,"Tussilago farfara L.","Asterales","Asteraceae","Tussilago","Tussilago farfara","Tussilago","farfara","United States of America"
"Asclepias syriaca L.",-80.522664,37.374682,"Asclepias syriaca L.","Gentianales","Apocynaceae","Asclepias","Asclepias syriaca","Asclepias","syriaca","United States of America"
"Picea rubens Sarg.",-80.518441,37.367416,"Picea rubens Sarg.","Pinales","Pinaceae","Picea","Picea rubens","Picea","rubens","United States of America"
"Trifolium pratense L.",-80.52183,37.375509,"Trifolium pratense L.","Fabales","Fabaceae","Trifolium","Trifolium pratense","Trifolium","pratense","United States of America"
"Polystichum acrostichoides (Michx.) Schott",-80.524,37.375729,"Polystichum acrostichoides (Michx.) Schott","Polypodiales","Dryopteridaceae","Polystichum","Polystichum acrostichoides","Polystichum","acrostichoides","United States of America"
"Arisaema triphyllum (L.) Schott",-80.523461,37.375792,"Arisaema triphyllum (L.) Schott","Alismatales","Araceae","Arisaema","Arisaema triphyllum","Arisaema","triphyllum","United States of America"
"Achillea millefolium Ledeb.",-80.524316,37.375594,"Achillea millefolium Ledeb.","Asterales","Asteraceae","Achillea","Achillea millefolium","Achillea","millefolium","United States of America"
