"name","longitude","latitude","scientificName","order","family","genus","species","genericName","specificEpithet","country"
"Tsuga canadensis Carrière",-71.270073,44.056039,"Tsuga canadensis Carrière","Pinales","Pinaceae","Tsuga","Tsuga canadensis","Tsuga","canadensis","United States of America"
"Viburnum lantanoides Michx.",-71.276359,44.03561,"Viburnum lantanoides Michx.","Dipsacales","Adoxaceae","Viburnum","Viburnum lantanoides","Viburnum","lantanoides","United States of America"
"Lycopodium clavatum L.",-71.26986,44.05616,"Lycopodium clavatum L.","Lycopodiales","Lycopodiaceae","Lycopodium","Lycopodium clavatum","Lycopodium","clavatum","United States of America"
"Hamamelis virginiana L.",-71.270329,44.055155,"Hamamelis virginiana L.","Saxifragales","Hamamelidaceae","Hamamelis","Hamamelis virginiana","Hamamelis","virginiana","United States of America"
"Acer rubrum L.",-71.275785,44.041076,"Acer rubrum L.","Sapindales","Sapindaceae","Acer","Acer rubrum","Acer","rubrum","United States of America"
"Actaea pachypoda Elliott",-71.27679,44.03546,"Actaea pachypoda Elliott","Ranunculales","Ranunculaceae","Actaea","Actaea pachypoda","Actaea","pachypoda","United States of America"
"Cornus alternifolia L.f.",-71.270308,44.05491,"Cornus alternifolia L.f.","Cornales","Cornaceae","Cornus","Cornus alternifolia","Cornus","alternifolia","United States of America"
"Equisetum sylvaticum L.",-71.27653,44.03553,"Equisetum sylvaticum L.","Equisetales","Equisetaceae","Equisetum","Equisetum sylvaticum","Equisetum","sylvaticum","United States of America"
"Acer pensylvanicum L.",-71.270088,44.055196,"Acer pensylvanicum L.","Sapindales","Sapindaceae","Acer","Acer pensylvanicum","Acer","pensylvanicum","United States of America"
"Fagus grandifolia Ehrh.",-71.270497,44.054997,"Fagus grandifolia Ehrh.","Fagales","Fagaceae","Fagus","Fagus grandifolia","Fagus","grandifolia","United States of America"
"Acer pensylvanicum L.",-71.270139,44.054221,"Acer pensylvanicum L.","Sapindales","Sapindaceae","Acer","Acer pensylvanicum","Acer","pensylvanicum","United States of America"
"Tsuga canadensis Carrière",-71.276247,44.035482,"Tsuga canadensis Carrière","Pinales","Pinaceae","Tsuga","Tsuga canadensis","Tsuga","canadensis","United States of America"
"Phegopteris connectilis (Michx.) Watt",-71.27653,44.03553,"Phegopteris connectilis (Michx.) Watt","Polypodiales","Thelypteridaceae","Phegopteris","Phegopteris connectilis","Phegopteris","connectilis","United States of America"
"Viburnum lantanoides Michx.",-71.270279,44.055042,"Viburnum lantanoides Michx.","Dipsacales","Adoxaceae","Viburnum","Viburnum lantanoides","Viburnum","lantanoides","United States of America"
"Cypripedium acaule Aiton",-71.27679,44.03546,"Cypripedium acaule Aiton","Asparagales","Orchidaceae","Cypripedium","Cypripedium acaule","Cypripedium","acaule","United States of America"
"Acer pensylvanicum L.",-71.27575,44.040985,"Acer pensylvanicum L.","Sapindales","Sapindaceae","Acer","Acer pensylvanicum","Acer","pensylvanicum","United States of America"
"Acer spicatum Lam.",-71.276694,44.035402,"Acer spicatum Lam.","Sapindales","Sapindaceae","Acer","Acer spicatum","Acer","spicatum","United States of America"
"Acer rubrum L.",-71.270591,44.055024,"Acer rubrum L.","Sapindales","Sapindaceae","Acer","Acer rubrum","Acer","rubrum","United States of America"
