Species,Pattern
Abelia_chinensis,N
Abelia_engleriana,N
Abelia_parvifolia,N
Abelia_uniflora,N
Abelmoschus_manihot,N
Abies_balsamea,N
Abies_fraseri,N
Abies_holophylla,N
Abies_nephrolepis,N
Abutilon_theophrasti,N
Acalypha_australis,N
Acalypha_gracilens,N
Acalypha_rhomboidea,N
Acalypha_virginica,N
Acer_amplum,D
Acer_barbinerve,D
Acer_buergerianum,D
Acer_buergerianum_subsp._ningpoense,D
Acer_campbellii_subsp._wilsonii,D
Acer_cinnamomifolium,D
Acer_cordatum,D
Acer_davidii,D
Acer_elegantulum,D
Acer_fabri,D
Acer_flabellatum,D
Acer_floridanum,D
Acer_griseum,D
Acer_henryi,D
Acer_laevigatum,D
Acer_leucoderme,D
Acer_linganense,D
Acer_linganense_subsp._koreanum,D
Acer_longipes,D
Acer_mandshuricum,D
Acer_maximowiczianum,D
Acer_miyabei,D
Acer_miyabei_subsp._miaotaiense,D
Acer_olivaceum,D
Acer_oliverianum,D
Acer_palmatum,D
Acer_pectinatum,D
Acer_pectinatum_subsp._maximowiczii,D
Acer_pensylvanicum,D
Acer_pictum,D
Acer_pseudosieboldianum,D
Acer_pubinerve,D
Acer_pubipalmatum,D
Acer_robustum,D
Acer_rubrum,D
Acer_saccharum,D
Acer_sinense,D
Acer_sinopurpurascens,D
Acer_spicatum,D
Acer_stachyophyllum,D
Acer_sterculiaceum_subsp._franchetii,D
Acer_sutchuenense,D
Acer_tataricum_subsp._ginnala,D
Acer_tataricum_subsp._theiferum,D
Acer_tegmentosum,D
Acer_triflorum,D
Acer_truncatum,D
Acer_ukurunduense,D
Achillea_alpina,N
Achillea_millefolium,N
Achillea_ptarmica,N
Achillea_ptarmicoides,N
Achillea_wilsoniana,N
Achnatherum_pekinense,N
Achnatherum_pubicalyx,N
Achyranthes_aspera,N
Achyranthes_bidentata,N
Achyranthes_japonica,N
Achyranthes_longifolia,N
Acmella_oppositifolia_var._repens,N
Aconitum_alboviolaceum,N
Aconitum_cannabifolium,N
Aconitum_carmichaelii,N
Aconitum_carmichaelii_var._hwangshanicum,N
Aconitum_carmichaelii_var._truppelianum,N
Aconitum_coreanum,N
Aconitum_dunhuaense,N
Aconitum_finetianum,N
Aconitum_fusungense,N
Aconitum_hemsleyanum,N
Aconitum_henryi,N
Aconitum_jaluense,N
Aconitum_kirinense,N
Aconitum_kusnezoffii,N
Aconitum_monanthum,N
Aconitum_paniculigerum,N
Aconitum_reclinatum,N
Aconitum_scaposum,N
Aconitum_sinomontanum,N
Aconitum_tanguticum,N
Aconitum_umbrosum,N
Aconitum_uncinatum,N
Aconitum_variegatum,N
Aconitum_villosum,N
Aconitum_volubile,N
Aconitum_volubile_var._latisectum,N
Aconogonon_limosum,N
Aconogonon_platyphyllum,N
Acorus_calamus,N
Acorus_calamus_var._angustatus,N
Acorus_gramineus,N
Acorus_tatarinowii,N
Actaea_asiatica,N
Actaea_cimicifuga,N
Actaea_dahurica,N
Actaea_japonica,N
Actaea_pachypoda,N
Actaea_rubra,N
Actaea_simplex,N
Actinidia_arguta,N
Actinidia_callosa,N
Actinidia_callosa_var._discolor,N
Actinidia_callosa_var._henryi,N
Actinidia_chinensis,N
Actinidia_deliciosa,N
Actinidia_hemsleyana,N
Actinidia_kolomikta,N
Actinidia_lanceolata,N
Actinidia_latifolia,N
Actinidia_macrosperma,N
Actinidia_melanandra,N
Actinidia_polygama,N
Actinidia_valvata,N
Actinodaphne_cupularis,N
Actinostemma_tenerum,N
Adenocaulon_himalaicum,N
Adenophora_capillaris,N
Adenophora_coronopifolia,N
Adenophora_divaricata,N
Adenophora_elata,N
Adenophora_grandiflora,N
Adenophora_hubeiensis,N
Adenophora_hunanensis,N
Adenophora_paniculata,N
Adenophora_pereskiifolia,N
Adenophora_petiolata,N
Adenophora_polyantha,N
Adenophora_remotiflora,N
Adenophora_sinensis,N
Adenophora_stricta,N
Adenophora_trachelioides,N
Adenophora_triphylla,N
Adenophora_wawreana,N
Adenostemma_lavenia,N
Adina_pilulifera,N
Adina_rubella,N
Adinandra_millettii,N
Adlumia_asiatica,D
Adonis_amurensis,N
Adoxa_moschatellina,N
Aeginetia_indica,N
Aegonychon_zollingeri,N
Aegopodium_alpestre,N
Aegopodium_podagraria,N
Aeschynomene_indica,N
Aeschynomene_viscidula,N
Aesculus_chinensis,D
Aesculus_chinensis_var._wilsonii,D
Aesculus_flava,D
Aesculus_parviflora,D
Aesculus_pavia,D
Agalinis_fasciculata,N
Agalinis_filifolia,N
Agalinis_paupercula,N
Agalinis_plukenetii,N
Agalinis_purpurea,N
Agalinis_setacea,N
Agalinis_tenuifolia,N
Agastache_rugosa,N
Ageratina_jucunda,N
Ageratum_conyzoides,N
Agrimonia_coreana,N
Agrimonia_gryposepala,N
Agrimonia_microcarpa,N
Agrimonia_parviflora,N
Agrimonia_pilosa,N
Agrimonia_rostellata,N
Agrostemma_githago,N
Agrostis_canina,N
Agrostis_capillaris,N
Agrostis_clavata,N
Agrostis_divaricatissima,N
Agrostis_elliottiana,N
Agrostis_gigantea,N
Agrostis_hyemalis,N
Agrostis_infirma,N
Agrostis_micrantha,N
Agrostis_perennans,N
Agrostis_perennis,N
Agrostis_stolonifera,N
Agrostis_tenuis,N
Agrostis_vinealis,N
Ailanthus_altissima,N
Ainsliaea_fragrans,N
Ainsliaea_glabra,N
Ainsliaea_gracilis,N
Ainsliaea_grossedentata,N
Ainsliaea_henryi,N
Ainsliaea_macroclinidioides,N
Ajuga_decumbens,N
Ajuga_lupulina,N
Ajuga_nipponensis,N
Ajuga_reptans,N
Akebia_quinata,N
Akebia_trifoliata,N
Akebia_trifoliata_subsp._australis,N
Alangium_chinense,N
Alangium_chinense_subsp._pauciflorum,N
Alangium_kurzii,N
Alangium_platanifolium,N
Albizia_julibrissin,N
Albizia_kalkora,N
Alcea_rosea,N
Aletris_farinosa,D
Aletris_spicata,D
Alisma_canaliculatum,N
Alisma_gramineum,N
Alisma_plantago-aquatica,N
Alliaria_grandifolia,N
Alliaria_petiolata,N
Allium_anisopodium,N
Allium_bidentatum,N
Allium_canadense,N
Allium_cepa,N
Allium_chinense,N
Allium_condensatum,N
Allium_cyaneum,N
Allium_fistulosum,N
Allium_ledebourianum,N
Allium_macranthum,N
Allium_macrostemon,N
Allium_maximowiczii,N
Allium_monanthum,N
Allium_neriniflorum,N
Allium_plurifoliatum,N
Allium_ramosum,N
Allium_schoenoprasum,N
Allium_senescens,N
Allium_splendens,N
Allium_tenuissimum,N
Allium_thunbergii,N
