Species,Pattern
Acer_amplum,D
Acer_barbinerve,D
Acer_buergerianum,D
Acer_buergerianum_subsp._ningpoense,D
Acer_campbellii_subsp._wilsonii,D
Acer_cinnamomifolium,D
Acer_cordatum,D
Acer_davidii,D
Acer_elegantulum,D
Acer_fabri,D
Acer_flabellatum,D
Acer_floridanum,D
Acer_griseum,D
Acer_henryi,D
Acer_laevigatum,D
Acer_leucoderme,D
Acer_linganense,D
Acer_linganense_subsp._koreanum,D
Acer_longipes,D
Acer_mandshuricum,D
Acer_maximowiczianum,D
Acer_miyabei,D
Acer_miyabei_subsp._miaotaiense,D
Acer_olivaceum,D
Acer_oliverianum,D
Acer_palmatum,D
Acer_pectinatum,D
Acer_pectinatum_subsp._maximowiczii,D
Acer_pensylvanicum,D
Acer_pictum,D
Acer_pseudosieboldianum,D
Acer_pubinerve,D
Acer_pubipalmatum,D
Acer_robustum,D
Acer_rubrum,D
Acer_saccharum,D
Acer_sinense,D
Acer_sinopurpurascens,D
Acer_spicatum,D
Acer_stachyophyllum,D
Acer_sterculiaceum_subsp._franchetii,D
Acer_sutchuenense,D
Acer_tataricum_subsp._ginnala,D
Acer_tataricum_subsp._theiferum,D
Acer_tegmentosum,D
Acer_triflorum,D
Acer_truncatum,D
Acer_ukurunduense,D
Adlumia_asiatica,D
Aesculus_chinensis,D
Aesculus_chinensis_var._wilsonii,D
Aesculus_flava,D
Aesculus_parviflora,D
Aesculus_pavia,D
Aletris_farinosa,D
Aletris_spicata,D
Ampelopsis_aconitifolia,D
Ampelopsis_bodinieri,D
Ampelopsis_delavayana,D
Ampelopsis_glandulosa_var._brevipedunculata,D
Ampelopsis_glandulosa_var._hancei,D
Ampelopsis_glandulosa_var._heterophylla,D
Ampelopsis_glandulosa_var._kulingensis,D
Ampelopsis_humulifolia,D
Ampelopsis_japonica,D
Ampelopsis_sinica,D
Antenoron_filiforme_var._filiforme,D
Apios_americana,D
Apios_fortunei,D
Aralia_chinensis,D
Aralia_continentalis,D
