BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,1.43472777228301,1.32140383885348,1.41929015387112,1.43699617242411,1.27668806814459,0.825638048499362,1.50575276557421,1.42737779259425,1.22110962301397,1.44386408027325
CBS,1.43472777228301,0,1.10002069902332,0.745628543155353,1.53739152944739,0.976034750220399,1.00421552105883,1.71074352586008,1.52670247537017,1.40250369180411,1.31616208039923
CWHL,1.32140383885348,1.10002069902332,0,1.16272197588998,1.3958725707131,0.671397882680902,0.726911809195483,1.18342950692884,1.4038671138772,0.810159251546713,1.33980830991695
DLS,1.41929015387112,0.745628543155353,1.16272197588998,0,1.44043157893712,1.13706446202114,1.06054021410425,1.69036925057663,1.37617987256408,1.36363256155254,1.23328758139566
GTS,1.43699617242411,1.53739152944739,1.3958725707131,1.44043157893712,0,1.52358693573834,1.19445757551558,1.70182332815063,0.7955600044589,1.33004702318483,0.527726926739744
HARV,1.27668806814459,0.976034750220399,0.671397882680902,1.13706446202114,1.52358693573834,0,0.750555874083061,1.23035721399194,1.56165785491007,1.02593909492843,1.42974556693769
MLBS,0.825638048499362,1.00421552105883,0.726911809195483,1.06054021410425,1.19445757551558,0.750555874083061,0,1.09769407635756,1.16585035361713,0.869730188790772,1.16718798568465
OSBS,1.50575276557421,1.71074352586008,1.18342950692884,1.69036925057663,1.70182332815063,1.23035721399194,1.09769407635756,0,1.91178323177236,0.833991679713239,1.70852485577355
SNJ,1.42737779259425,1.52670247537017,1.4038671138772,1.37617987256408,0.7955600044589,1.56165785491007,1.16585035361713,1.91178323177236,0,1.41554224467548,0.763684095662313
TALL,1.22110962301397,1.40250369180411,0.810159251546713,1.36363256155254,1.33004702318483,1.02593909492843,0.869730188790772,0.833991679713239,1.41554224467548,0,1.34696104881813
TMS,1.44386408027325,1.31616208039923,1.33980830991695,1.23328758139566,0.527726926739744,1.42974556693769,1.16718798568465,1.70852485577355,0.763684095662313,1.34696104881813,0
