BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,1.40273315278767,1.42314357371283,1.38405394129773,1.40457524635397,1.43894266247343,1.0918579652415,1.48987542743792,1.39376832001653,1.27157103040012,1.40915483155391
CBS,1.40273315278767,0,0.964862746479549,0.937724392256349,1.35679809290567,0.892761227563357,0.96058385144221,1.46397963183871,1.35217074997586,1.26541019910735,1.2446111804872
CWHL,1.42314357371283,0.964862746479549,0,1.02997900487253,1.23301449409456,0.893988305900818,0.943104330618334,1.1896745175195,1.21529265165729,1.04856523887858,1.18939168706738
DLS,1.38405394129773,0.937724392256349,1.02997900487253,0,1.37927313138687,1.02552156013283,1.01828110139765,1.48156651024717,1.35012080588051,1.24819181358026,1.24551595119253
GTS,1.40457524635397,1.35679809290567,1.23301449409456,1.37927313138687,0,1.30214034243484,1.14338459661761,1.50435568843542,1.00423456631332,1.21200418011806,1.002311647449
HARV,1.43894266247343,0.892761227563357,0.893988305900818,1.02552156013283,1.30214034243484,0,0.910364770204763,1.18825132096421,1.31188128632026,1.06395056673987,1.23740925757467
MLBS,1.0918579652415,0.96058385144221,0.943104330618334,1.01828110139765,1.14338459661761,0.910364770204763,0,1.10202015331593,1.11636130989113,0.987255713639327,1.11755603720895
OSBS,1.48987542743792,1.46397963183871,1.1896745175195,1.48156651024717,1.50435568843542,1.18825132096421,1.10202015331593,0,1.63459463117439,0.997299814992576,1.5076809587637
SNJ,1.39376832001653,1.35217074997586,1.21529265165729,1.35012080588051,1.00423456631332,1.31188128632026,1.11636130989113,1.63459463117439,0,1.28245561443707,0.978550926006934
TALL,1.27157103040012,1.26541019910735,1.04856523887858,1.24819181358026,1.21200418011806,1.06395056673987,0.987255713639327,0.997299814992576,1.28245561443707,0,1.22661848910492
TMS,1.40915483155391,1.2446111804872,1.18939168706738,1.24551595119253,1.002311647449,1.23740925757467,1.11755603720895,1.5076809587637,0.978550926006934,1.22661848910492,0
