BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,0.894302571435768,0.82918461114828,0.881478754271311,0.91296507044847,0.821568817961217,0.678324167738244,0.888894251432614,0.9211325314002,0.818038876237075,0.911825599846643
CBS,0.894302571435768,0,0.730943117461347,0.563774778995795,0.712600486033636,0.663088363597271,0.819630467033199,0.805911276942958,0.706155653876623,0.802368523983554,0.678730395090518
CWHL,0.82918461114828,0.730943117461347,0,0.731622537197814,0.750229101045123,0.530669227775928,0.628929034211509,0.70242480733137,0.760287835131901,0.568883748067456,0.743978789944551
DLS,0.881478754271311,0.563774778995795,0.731622537197814,0,0.716175134357609,0.715216612873744,0.7937419336254,0.807029612242238,0.695357099786704,0.782184710807016,0.67718810909424
GTS,0.91296507044847,0.712600486033636,0.750229101045123,0.716175134357609,0,0.751735871706871,0.845994899484368,0.772385040526394,0.498515727619564,0.77845609249956,0.37774864497681
HARV,0.821568817961217,0.663088363597271,0.530669227775928,0.715216612873744,0.751735871706871,0,0.694278450899637,0.696466075219922,0.756035910437309,0.69228373758482,0.730520212144655
MLBS,0.678324167738244,0.819630467033199,0.628929034211509,0.7937419336254,0.845994899484368,0.694278450899637,0,0.79885444500409,0.850134313762665,0.68980849463348,0.838119240924892
OSBS,0.888894251432614,0.805911276942958,0.70242480733137,0.807029612242238,0.772385040526394,0.696466075219922,0.79885444500409,0,0.799855330435246,0.598174879080532,0.76920574195777
SNJ,0.9211325314002,0.706155653876623,0.760287835131901,0.695357099786704,0.498515727619564,0.756035910437309,0.850134313762665,0.799855330435246,0,0.797993388287323,0.479304564437697
TALL,0.818038876237075,0.802368523983554,0.568883748067456,0.782184710807016,0.77845609249956,0.69228373758482,0.68980849463348,0.598174879080532,0.797993388287323,0,0.774815991108714
TMS,0.911825599846643,0.678730395090518,0.743978789944551,0.67718810909424,0.37774864497681,0.730520212144655,0.838119240924892,0.76920574195777,0.479304564437697,0.774815991108714,0
