BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,294.547322171702,291.869810339773,296.045730875751,294.063448933096,297.07512559556,295.018373184397,295.866368738011,293.912598346141,293.260830863739,292.839144926566
CBS,294.547322171702,0,252.472550414094,256.325935617608,257.319794394449,257.030713806772,264.391824732622,254.106600766736,257.389287915788,257.584674865203,255.006296277706
CWHL,291.869810339773,252.472550414094,0,254.282969224502,255.038225660946,255.324363644183,261.823365962529,251.435890758581,255.099588119291,254.090684201516,252.929334143868
DLS,296.045730875751,256.325935617608,254.282969224502,0,259.0311242532,259.881061846083,266.57619967154,255.808089029089,258.887165685863,258.55327384216,256.687017654074
GTS,294.063448933096,257.319794394449,255.038225660946,259.0311242532,0,260.660854358567,265.867264020743,256.973137164083,258.599984091635,258.734703487672,256.647188144397
HARV,297.07512559556,257.030713806772,255.324363644183,259.881061846083,260.660854358567,0,267.251043850738,255.936322727002,261.312939398731,260.474757005221,258.582558078096
MLBS,295.018373184397,264.391824732622,261.823365962529,266.57619967154,265.867264020743,267.251043850738,0,264.405734253007,265.827591051215,265.416626044358,264.031924551239
OSBS,295.866368738011,254.106600766736,251.435890758581,255.808089029089,256.973137164083,255.936322727002,264.405734253007,0,257.750269987207,255.645375916241,254.761154043944
SNJ,293.912598346141,257.389287915788,255.099588119291,258.887165685863,258.599984091635,261.312939398731,265.827591051215,257.750269987207,0,258.830297430729,256.556220426161
TALL,293.260830863739,257.584674865203,254.090684201516,258.55327384216,258.734703487672,260.474757005221,265.416626044358,255.645375916241,258.830297430729,0,256.948938311026
TMS,292.839144926566,255.006296277706,252.929334143868,256.687017654074,256.647188144397,258.582558078096,264.031924551239,254.761154043944,256.556220426161,256.948938311026,0
