BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,158.940795482094,141.689381725803,156.357823193603,158.774316819933,146.918449131058,92.0184481765458,167.097321813086,157.612658356714,130.653065012741,156.339913200115
CBS,158.940795482094,0,40.7127439288334,25.0547711842607,44.7716864108867,31.421568877767,74.2040302918657,58.2432598584083,41.5336534267005,66.4994874715563,37.9668817479698
CWHL,141.689381725803,40.7127439288334,0,45.2797506639727,52.6929980628196,25.939186562698,52.2778726156651,46.7008568950229,52.5310419298469,38.8959845875232,50.4387779216199
DLS,156.357823193603,25.0547711842607,45.2797506639727,0,48.9224278748355,40.7181487663113,77.9485073805881,63.0062462170141,45.3937050196818,66.083746770408,41.1928879963411
GTS,158.774316819933,44.7716864108867,52.6929980628196,48.9224278748355,0,49.800993191644,91.8856900934498,58.6608391696134,19.8510687299489,64.3840924734921,14.498857014302
HARV,146.918449131058,31.421568877767,25.939186562698,40.7181487663113,49.800993191644,0,55.8194585041931,44.1690924551263,49.1074967051324,48.8950645903843,46.4785964598417
MLBS,92.0184481765458,74.2040302918657,52.2778726156651,77.9485073805881,91.8856900934498,55.8194585041931,0,80.3171979633837,90.5920738375207,64.4811781611382,88.0822162783624
OSBS,167.097321813086,58.2432598584083,46.7008568950229,63.0062462170141,58.6608391696134,44.1690924551263,80.3171979633837,0,63.8776918076232,39.5963829352303,58.4526343496482
SNJ,157.612658356714,41.5336534267005,52.5310419298469,45.3937050196818,19.8510687299489,49.1074967051324,90.5920738375207,63.8776918076232,0,68.7729859698722,18.8723654038721
TALL,130.653065012741,66.4994874715563,38.8959845875232,66.083746770408,64.3840924734921,48.8950645903843,64.4811781611382,39.5963829352303,68.7729859698722,0,64.3204115722735
TMS,156.339913200115,37.9668817479698,50.4387779216199,41.1928879963411,14.498857014302,46.4785964598417,88.0822162783624,58.4526343496482,18.8723654038721,64.3204115722735,0
