BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,1.08141936027646,0.719739120822433,1.07271986555991,1.09946892493182,0.571195227611675,0.631402421692911,1.02879553024605,1.09186800655691,0.945539629315745,1.10108979073344
CBS,1.08141936027646,0,1.12932712154273,0.696059901134051,1.04768776789368,1.13401558053296,1.09997671349841,1.10706107586621,1.0905727292878,1.12932712154273,1.01516943277739
CWHL,0.719739120822433,1.12932712154273,0,1.09921074946187,1.18207427967769,0.480834468573871,0.527620884419342,0.859693792086837,1.21334584890796,0.669287898645697,1.19319346951652
DLS,1.07271986555991,0.696059901134051,1.09921074946187,0,1.03099056710476,1.12693390704591,1.08717150444099,1.09250888664589,1.02023086163971,1.09921074946187,1.04213256239105
GTS,1.09946892493182,1.04768776789368,1.18207427967769,1.03099056710476,0,1.22354193971166,1.12864004455066,1.12306423531568,0.825817943189275,1.21380781738716,0.628443615385944
HARV,0.571195227611675,1.13401558053296,0.480834468573871,1.12693390704591,1.22354193971166,0,0.523136889096179,0.870115539400234,1.22637670524666,0.82867216924433,1.23386766112814
MLBS,0.631402421692911,1.09997671349841,0.527620884419342,1.08717150444099,1.12864004455066,0.523136889096179,0,0.862902066056277,1.11198113705548,0.817812370849979,1.13136403127715
OSBS,1.02879553024605,1.10706107586621,0.859693792086837,1.09250888664589,1.12306423531568,0.870115539400234,0.862902066056277,0,1.13960163825393,0.705718784548896,1.12741453771943
SNJ,1.09186800655691,1.0905727292878,1.21334584890796,1.02023086163971,0.825817943189275,1.22637670524666,1.11198113705548,1.13960163825393,0,1.23902512613353,0.86735684244581
TALL,0.945539629315745,1.12932712154273,0.669287898645697,1.09921074946187,1.21380781738716,0.82867216924433,0.817812370849979,0.705718784548896,1.23902512613353,0,1.20829718432053
TMS,1.10108979073344,1.01516943277739,1.19319346951652,1.04213256239105,0.628443615385944,1.23386766112814,1.13136403127715,1.12741453771943,0.86735684244581,1.20829718432053,0
