BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,0.604392353572281,0.600475497223554,0.577354519511842,0.741002510683195,0.529854466264116,0.515662876611439,0.674609692149362,0.736296600712447,0.656678482711071,0.76454453621426
CBS,0.604392353572281,0,0.608829237451185,0.384659800887836,0.631064730926851,0.561249889473617,0.660079819501263,0.707810908026984,0.637498620372643,0.691678004187326,0.62907600706574
CWHL,0.600475497223554,0.608829237451185,0,0.645683842477519,0.570802268241223,0.31428766284338,0.366461826643092,0.578404906463476,0.533248814658392,0.446770706727425,0.606585139710948
DLS,0.577354519511842,0.384659800887836,0.645683842477519,0,0.624132277868086,0.646458740319441,0.643914550795548,0.70241040519517,0.667524916228692,0.672404616365711,0.65057578534671
GTS,0.741002510683195,0.631064730926851,0.570802268241223,0.624132277868086,0,0.60611237629503,0.64189596500844,0.618015883938018,0.386583281889305,0.585008735068357,0.312302303070594
HARV,0.529854466264116,0.561249889473617,0.31428766284338,0.646458740319441,0.60611237629503,0,0.321041945952503,0.549122157933746,0.560078796127254,0.503818376123553,0.586333907309449
MLBS,0.515662876611439,0.660079819501263,0.366461826643092,0.643914550795548,0.64189596500844,0.321041945952503,0,0.506906457275988,0.633417503934096,0.540746078025682,0.64302164224168
OSBS,0.674609692149362,0.707810908026984,0.578404906463476,0.70241040519517,0.618015883938018,0.549122157933746,0.506906457275988,0,0.677616951711568,0.537710783885657,0.648829241972548
SNJ,0.736296600712447,0.637498620372643,0.533248814658392,0.667524916228692,0.386583281889305,0.560078796127254,0.633417503934096,0.677616951711568,0,0.585246024907496,0.361602803587513
TALL,0.656678482711071,0.691678004187326,0.446770706727425,0.672404616365711,0.585008735068357,0.503818376123553,0.540746078025682,0.537710783885657,0.585246024907496,0,0.636262936036493
TMS,0.76454453621426,0.62907600706574,0.606585139710948,0.65057578534671,0.312302303070594,0.586333907309449,0.64302164224168,0.648829241972548,0.361602803587513,0.636262936036493,0
