BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,304.355117793502,306.636011352263,303.868437641823,304.007773115507,310.796014464891,330.381215530612,330.342746694013,302.00640440572,314.264122749832,299.880981149532
CBS,304.355117793502,0,284.64585346893,277.133681483423,278.369974672288,293.057252948608,315.034185056307,312.758904230905,277.545486635001,292.081776744485,273.799749881504
CWHL,306.636011352263,284.64585346893,0,279.913904614672,275.247295596829,289.107861138699,311.169785836901,307.069510689192,276.32260879036,287.442440272544,272.858413887983
DLS,303.868437641823,277.133681483423,279.913904614672,0,273.176010160107,287.68449619355,313.131742544392,305.982167989217,275.858655209485,284.676143752572,270.54704281398
GTS,304.007773115507,278.369974672288,275.247295596829,273.176010160107,0,286.279446030327,308.546155388578,301.869402273744,267.202327592648,281.798221483272,263.355681704201
HARV,310.796014464891,293.057252948608,289.107861138699,287.68449619355,286.279446030327,0,318.538799369249,315.132194688793,286.439041561166,296.851937711199,283.626760028741
MLBS,330.381215530612,315.034185056307,311.169785836901,313.131742544392,308.546155388578,318.538799369249,0,332.174164149542,308.153213663966,316.541079346813,305.68381159826
OSBS,330.342746694013,312.758904230905,307.069510689192,305.982167989217,301.869402273744,315.132194688793,332.174164149542,0,304.947285216278,311.389889925302,301.071692870255
SNJ,302.00640440572,277.545486635001,276.32260879036,275.858655209485,267.202327592648,286.439041561166,308.153213663966,304.947285216278,0,283.248279529595,263.956195990828
TALL,314.264122749832,292.081776744485,287.442440272544,284.676143752572,281.798221483272,296.851937711199,316.541079346813,311.389889925302,283.248279529595,0,278.970415025257
TMS,299.880981149532,273.799749881504,272.858413887983,270.54704281398,263.355681704201,283.626760028741,305.68381159826,301.071692870255,263.956195990828,278.970415025257,0
