BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,80.4234697728984,91.9756598215766,84.83875095496,129.154169434588,64.889062375,78.4976439183673,121.126800256602,117.70399519968,110.122815945485,121.174819039927
CBS,80.4234697728984,0,74.6540194614764,42.0679657259195,91.1018495792699,60.3116698931828,103.662676659246,120.942440251723,80.4268041301867,98.980036682785,79.9450853701831
CWHL,91.9756598215766,74.6540194614764,0,90.930681804539,57.8529841746725,26.6151784718382,41.4191787412071,70.0994731014878,51.7219469211153,49.17181791329,61.51372602911
DLS,84.83875095496,42.0679657259195,90.930681804539,0,93.5593216309818,82.3448634034709,114.160015331013,130.263679153983,90.0057399786934,90.6453193918924,91.6014987530608
GTS,129.154169434588,91.1018495792699,57.8529841746725,93.5593216309818,0,61.5210916212063,81.1871793870126,75.0847074464781,24.3737242938743,63.4622119904792,21.502261042174
HARV,64.889062375,60.3116698931828,26.6151784718382,82.3448634034709,61.5210916212063,0,38.9484586436781,71.1781527927035,51.6948992717412,55.1870070243683,61.9053845518
MLBS,78.4976439183673,103.662676659246,41.4191787412071,114.160015331013,81.1871793870126,38.9484586436781,0,66.5868343956495,74.5172529251375,65.3573490928852,80.758624545225
OSBS,121.126800256602,120.942440251723,70.0994731014878,130.263679153983,75.0847074464781,71.1781527927035,66.5868343956495,0,88.56963396974,69.3524646154133,82.9019341081306
SNJ,117.70399519968,80.4268041301867,51.7219469211153,90.0057399786934,24.3737242938743,51.6948992717412,74.5172529251375,88.56963396974,0,59.7690934887177,21.6288583519925
TALL,110.122815945485,98.980036682785,49.17181791329,90.6453193918924,63.4622119904792,55.1870070243683,65.3573490928852,69.3524646154133,59.7690934887177,0,65.1561688750749
TMS,121.174819039927,79.9450853701831,61.51372602911,91.6014987530608,21.502261042174,61.9053845518,80.758624545225,82.9019341081306,21.6288583519925,65.1561688750749,0
