BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,1.19407661391276,1.17057476814653,1.21134389167715,1.21977090698128,1.1871662346188,1.06217845817278,1.25282699808938,1.2012692301396,1.23254564883965,1.19945910722552
CBS,1.19407661391276,0,1.22587969996471,0.852505064051606,1.09858543414255,1.14731571204098,1.04732781192578,2.06059930819271,1.17745320157769,1.47680767213554,1.03448946683276
CWHL,1.17057476814653,1.22587969996471,0,1.22515235555967,1.25244955317278,0.804267526044765,0.835446500740607,1.34519017364276,1.36762945292999,0.918620725582099,1.25557502759316
DLS,1.21134389167715,0.852505064051606,1.22515235555967,0,1.08949638570596,1.26929969780771,1.08521182460722,1.83253265295636,1.09921920760863,1.4452569564681,0.974447037763003
GTS,1.21977090698128,1.09858543414255,1.25244955317278,1.08949638570596,0,1.30017079046262,1.10614637596137,1.67964019101659,0.698184294347963,1.42544903198405,0.474917106635122
HARV,1.1871662346188,1.14731571204098,0.804267526044765,1.26929969780771,1.30017079046262,0,0.862895989679243,1.353774700118,1.52024780792643,1.17205202330606,1.29818580489382
MLBS,1.06217845817278,1.04732781192578,0.835446500740607,1.08521182460722,1.10614637596137,0.862895989679243,0,1.16424549383199,1.1639312984839,1.04732946894433,1.12838780580591
OSBS,1.25282699808938,2.06059930819271,1.34519017364276,1.83253265295636,1.67964019101659,1.353774700118,1.16424549383199,0,2.10046505426855,0.911216459645847,1.79794278111479
SNJ,1.2012692301396,1.17745320157769,1.36762945292999,1.09921920760863,0.698184294347963,1.52024780792643,1.1639312984839,2.10046505426855,0,1.55037776095205,0.66640862695916
TALL,1.23254564883965,1.47680767213554,0.918620725582099,1.4452569564681,1.42544903198405,1.17205202330606,1.04732946894433,0.911216459645847,1.55037776095205,0,1.46015098991563
TMS,1.19945910722552,1.03448946683276,1.25557502759316,0.974447037763003,0.474917106635122,1.29818580489382,1.12838780580591,1.79794278111479,0.66640862695916,1.46015098991563,0
