BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,1.1873477567692,1.19616778625248,1.20455823573798,1.21677686913863,1.21569323725748,1.18890019034798,1.25083649354732,1.19721237429464,1.22585734828076,1.1960774134463
CBS,1.1873477567692,0,1.05464308099738,1.05350962056421,1.02699279744515,1.02465544048873,1.01353965503077,1.7118668944776,1.10585228745625,1.34279595144597,1.01920784106311
CWHL,1.19616778625248,1.05464308099738,0,1.06838168865784,1.11551269616619,1.00298945867542,0.981769021782979,1.30314020087472,1.18214375669096,1.1159432710484,1.11158804996587
DLS,1.20455823573798,1.05350962056421,1.06838168865784,0,1.1092643850052,1.13060351556598,1.05419491977747,1.57008542349999,1.14137991329202,1.32172230011043,1.04447514525564
GTS,1.21677686913863,1.02699279744515,1.11551269616619,1.1092643850052,0,1.13785692708171,1.07990818074863,1.50368070409802,0.942692419543153,1.31804685100027,0.916229225434464
HARV,1.21569323725748,1.02465544048873,1.00298945867542,1.13060351556598,1.13785692708171,0,0.964744605442622,1.27591466758815,1.29199990179302,1.16879176149358,1.13569614962786
MLBS,1.18890019034798,1.01353965503077,0.981769021782979,1.05419491977747,1.07990818074863,0.964744605442622,0,1.15511329441048,1.13194905612878,1.09925200596691,1.09906368961786
OSBS,1.25083649354732,1.7118668944776,1.30314020087472,1.57008542349999,1.50368070409802,1.27591466758815,1.15511329441048,0,1.78228710167832,1.01318385686128,1.58177182292549
SNJ,1.19721237429464,1.10585228745625,1.18214375669096,1.14137991329202,0.942692419543153,1.29199990179302,1.13194905612878,1.78228710167832,0,1.42729821130094,0.909548970093972
TALL,1.22585734828076,1.34279595144597,1.1159432710484,1.32172230011043,1.31804685100027,1.16879176149358,1.09925200596691,1.01318385686128,1.42729821130094,0,1.34803431460148
TMS,1.1960774134463,1.01920784106311,1.11158804996587,1.04447514525564,0.916229225434464,1.13569614962786,1.09906368961786,1.58177182292549,0.909548970093972,1.34803431460148,0
