BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,0.96083407676493,0.927610821283686,0.948254097899959,0.951774661281601,0.938859415674349,0.807446560997097,0.954052071796153,0.957265267075696,0.928937076734624,0.952402304571672
CBS,0.96083407676493,0,0.727763211709796,0.567230452704213,0.638177941424469,0.660704485121689,0.84305487478446,0.81240234823975,0.634239479855011,0.82321386359631,0.608018960035409
CWHL,0.927610821283686,0.727763211709796,0,0.727042425080482,0.713833546925537,0.574011033631447,0.692140211891652,0.724822283697522,0.73210092611209,0.609448246748055,0.715065146453436
DLS,0.948254097899959,0.567230452704213,0.727042425080482,0,0.666853331206619,0.724712109374694,0.810363186471197,0.816373133782177,0.641114899422779,0.804703591485254,0.633218109385428
GTS,0.951774661281601,0.638177941424469,0.713833546925537,0.666853331206619,0,0.711309525457162,0.823888104328192,0.758505266565465,0.502188809218166,0.785507862847148,0.386807314316962
HARV,0.938859415674349,0.660704485121689,0.574011033631447,0.724712109374694,0.711309525457162,0,0.764685970043404,0.699029085128077,0.731143025162216,0.742608169916876,0.694942730435403
MLBS,0.807446560997097,0.84305487478446,0.692140211891652,0.810363186471197,0.823888104328192,0.764685970043404,0,0.846077247304364,0.846284698685083,0.749452746778199,0.833921466372724
OSBS,0.954052071796153,0.81240234823975,0.724822283697522,0.816373133782177,0.758505266565465,0.699029085128077,0.846077247304364,0,0.802048359457309,0.645367821818611,0.766575768067621
SNJ,0.957265267075696,0.634239479855011,0.73210092611209,0.641114899422779,0.502188809218166,0.731143025162216,0.846284698685083,0.802048359457309,0,0.814895162184883,0.469691972809532
TALL,0.928937076734624,0.82321386359631,0.609448246748055,0.804703591485254,0.785507862847148,0.742608169916876,0.749452746778199,0.645367821818611,0.814895162184883,0,0.798377083985358
TMS,0.952402304571672,0.608018960035409,0.715065146453436,0.633218109385428,0.386807314316962,0.694942730435403,0.833921466372724,0.766575768067621,0.469691972809532,0.798377083985358,0
