BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,249.128894671748,246.841321709565,247.690811387027,248.96708145008,248.650063826144,245.9751631335,250.28397671649,247.636240501831,246.74064647602,248.286745134509
CBS,249.128894671748,0,242.775226912406,242.988668146212,244.051357835804,241.929786123136,245.733006340904,242.119672425021,245.202534140397,241.610817244352,244.583435999876
CWHL,246.841321709565,242.775226912406,0,240.433469456966,241.629691425189,240.054885771461,243.447857908115,238.770095826358,242.549400522628,236.574156621662,242.383822209992
DLS,247.690811387027,242.988668146212,240.433469456966,0,242.16199994995,241.239112166303,244.199182330223,239.703846115063,242.495193943026,237.938717102997,242.399158106176
GTS,248.96708145008,244.051357835804,241.629691425189,242.16199994995,0,241.586441792144,244.854109780435,240.703897019094,243.778285853202,239.487878125915,243.526600482618
HARV,248.650063826144,241.929786123136,240.054885771461,241.239112166303,241.586441792144,0,243.512940291581,237.709750178006,244.066211187447,238.800238212744,242.643394176665
MLBS,245.9751631335,245.733006340904,243.447857908115,244.199182330223,244.854109780435,243.512940291581,0,243.168562946264,245.629135836002,242.508432289388,245.337488078569
OSBS,250.28397671649,242.119672425021,238.770095826358,239.703846115063,240.703897019094,237.709750178006,243.168562946264,0,242.991100725891,235.38186246215,241.474475549997
SNJ,247.636240501831,245.202534140397,242.549400522628,242.495193943026,243.778285853202,244.066211187447,245.629135836002,242.991100725891,0,240.032741767953,244.153290894663
TALL,246.74064647602,241.610817244352,236.574156621662,237.938717102997,239.487878125915,238.800238212744,242.508432289388,235.38186246215,240.032741767953,0,240.530019265526
TMS,248.286745134509,244.583435999876,242.383822209992,242.399158106176,243.526600482618,242.643394176665,245.337488078569,241.474475549997,244.153290894663,240.530019265526,0
