BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,202.661025610741,194.087237353915,203.292867566113,206.998750071406,202.331378747267,167.434973635556,214.9313365912,201.995736094118,201.676424917535,202.237447893408
CBS,202.661025610741,0,38.993984275789,24.7790087716692,29.1099504885038,30.1775952372517,78.3014078510287,62.7546132016441,27.5828222667733,69.3942241557932,26.1514504576048
CWHL,194.087237353915,38.993984275789,0,41.7869089709967,43.0239550517513,26.9981127616614,60.2247092918544,47.9801289786475,45.9576857925922,42.2341950466156,42.9099634822797
DLS,203.292867566113,24.7790087716692,41.7869089709967,0,34.3752208919326,39.4116281245915,78.4231240388947,61.4459143492046,33.0445708839331,67.3617995219105,29.8966107978716
GTS,206.998750071406,29.1099504885038,43.0239550517513,34.3752208919326,0,39.1252302798589,83.2013321980771,55.3482297259481,19.4644063561962,67.498898892324,14.1637951182562
HARV,202.331378747267,30.1775952372517,26.9981127616614,39.4116281245915,39.1252302798589,0,63.0067294546747,42.7644579550692,43.3733508955808,53.267700376216,38.2450673524893
MLBS,167.434973635556,78.3014078510287,60.2247092918544,78.4231240388947,83.2013321980771,63.0067294546747,0,85.0430427738366,89.3089778936506,74.2137581235322,84.6746705367636
OSBS,214.9313365912,62.7546132016441,47.9801289786475,61.4459143492046,55.3482297259481,42.7644579550692,85.0430427738366,0,66.7129479031915,41.0524433060463,58.5267230284905
SNJ,201.995736094118,27.5828222667733,45.9576857925922,33.0445708839331,19.4644063561962,43.3733508955808,89.3089778936506,66.7129479031915,0,74.3687230616512,17.6961109248778
TALL,201.676424917535,69.3942241557932,42.2341950466156,67.3617995219105,67.498898892324,53.267700376216,74.2137581235322,41.0524433060463,74.3687230616512,0,69.600007579729
TMS,202.237447893408,26.1514504576048,42.9099634822797,29.8966107978716,14.1637951182562,38.2450673524893,84.6746705367636,58.5267230284905,17.6961109248778,69.600007579729,0
