BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,1.45070629151894,1.38308311276599,1.45040821543875,1.44442998225123,1.32834848359053,0.931182675124562,1.55140917459945,1.45394191816585,1.316518795032,1.47011121683662
CBS,1.45070629151894,0,1.11243280140826,0.78639981371903,1.62350908648415,0.992485343051642,1.00903553946724,1.74937218637614,1.59762652361938,1.4092800610124,1.33849695740478
CWHL,1.38308311276599,1.11243280140826,0,1.15623813383269,1.47667283828069,0.691800616764282,0.784235616569018,1.18277169437402,1.51098831788105,0.821609087124651,1.38846363017099
DLS,1.45040821543875,0.78639981371903,1.15623813383269,0,1.45258331317539,1.12378274250803,1.06836296503594,1.68916502467263,1.36631634561608,1.37112183322858,1.21019879821547
GTS,1.44442998225123,1.62350908648415,1.47667283828069,1.45258331317539,0,1.59208430795409,1.26147462512272,1.71470377765819,0.809345728683146,1.39965078354309,0.518547023846164
HARV,1.32834848359053,0.992485343051642,0.691800616764282,1.12378274250803,1.59208430795409,0,0.790813015782771,1.25517873141864,1.66865095457498,1.06849886140735,1.46155206736969
MLBS,0.931182675124562,1.00903553946724,0.784235616569018,1.06836296503594,1.26147462512272,0.790813015782771,0,1.14885445837345,1.26455853074871,0.953398772289993,1.23316277213211
OSBS,1.55140917459945,1.74937218637614,1.18277169437402,1.68916502467263,1.71470377765819,1.25517873141864,1.14885445837345,0,1.89835631879379,0.810608684111441,1.67819067864673
SNJ,1.45394191816585,1.59762652361938,1.51098831788105,1.36631634561608,0.809345728683146,1.66865095457498,1.26455853074871,1.89835631879379,0,1.50931028733142,0.766712042625814
TALL,1.316518795032,1.4092800610124,0.821609087124651,1.37112183322858,1.39965078354309,1.06849886140735,0.953398772289993,0.810608684111441,1.50931028733142,0,1.40280154545264
TMS,1.47011121683662,1.33849695740478,1.38846363017099,1.21019879821547,0.518547023846164,1.46155206736969,1.23316277213211,1.67819067864673,0.766712042625814,1.40280154545264,0
