BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,1.01663201663202,0.956331403184479,1.01976458076371,1.01669432454011,0.917154629214906,0.795801325527294,1.00717551578125,1.0190186575867,0.971052786830734,1.01838009158714
CBS,1.01663201663202,0,1.13849352310891,0.802230263643749,1.13756819953235,1.0906678460858,1.03915576353739,1.17409503139292,1.12871988663203,1.10135970333745,1.05785123966942
CWHL,0.956331403184479,1.13849352310891,0,1.12932719435801,1.12830954928674,0.774748585279917,0.801607719841066,1.00401054072979,1.15118071737606,0.787931300348284,1.12144270399584
DLS,1.01976458076371,0.802230263643749,1.12932719435801,0,1.04436611026438,1.10746476031889,1.03572768058373,1.14524415148062,1.01716463256885,1.08758394758746,0.984105338214089
GTS,1.01669432454011,1.13756819953235,1.12830954928674,1.04436611026438,0,1.16562607600606,1.03764370118942,1.13111772619214,0.790019644235411,1.0876053416186,0.517915687095424
HARV,0.917154629214906,1.0906678460858,0.774748585279917,1.10746476031889,1.16562607600606,0,0.852965002943486,1.04672014929453,1.18726010840516,0.978398844997897,1.14853119262471
MLBS,0.795801325527294,1.03915576353739,0.801607719841066,1.03572768058373,1.03764370118942,0.852965002943486,0,1.00429496181904,1.03943527538948,0.89908450136922,1.03725114641532
OSBS,1.00717551578125,1.17409503139292,1.00401054072979,1.14524415148062,1.13111772619214,1.04672014929453,1.00429496181904,0,1.17052845752486,0.845804346538729,1.13217924883437
SNJ,1.0190186575867,1.12871988663203,1.15118071737606,1.01716463256885,0.790019644235411,1.18726010840516,1.03943527538948,1.17052845752486,0,1.09363056134539,0.774052077506174
TALL,0.971052786830734,1.10135970333745,0.787931300348284,1.08758394758746,1.0876053416186,0.978398844997897,0.89908450136922,0.845804346538729,1.09363056134539,0,1.08977571475518
TMS,1.01838009158714,1.05785123966942,1.12144270399584,0.984105338214089,0.517915687095424,1.14853119262471,1.03725114641532,1.13217924883437,0.774052077506174,1.08977571475518,0
