BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,1.42697285525687,1.44623831044392,1.42229710935098,1.42071215249932,1.44833645415671,1.1701195326705,1.54035632349148,1.42680598371885,1.35576439601062,1.44357811879989
CBS,1.42697285525687,0,0.977109468634058,0.980266949974168,1.42717516818032,0.909979464979628,0.971014716823956,1.48997495058022,1.41543224544977,1.2795820082593,1.26529790504671
CWHL,1.44623831044392,0.977109468634058,0,1.02382917865533,1.3087479754241,0.89293563087222,0.97832842318997,1.1780470885438,1.3125552704923,1.04274203444067,1.23810483159213
DLS,1.42229710935098,0.980266949974168,1.02382917865533,0,1.39087557409123,1.01473453853686,1.03150952230399,1.4749387914261,1.34325978496269,1.26070436794334,1.22974518196567
GTS,1.42071215249932,1.42717516818032,1.3087479754241,1.39087557409123,0,1.36586195241038,1.21571077208557,1.51593749965414,1.02446278974042,1.28691054556619,1.00121899522735
HARV,1.44833645415671,0.909979464979628,0.89293563087222,1.01473453853686,1.36586195241038,0,0.927134188452943,1.19915407405179,1.40546367452408,1.09208925058538,1.27254015977541
MLBS,1.1701195326705,0.971014716823956,0.97832842318997,1.03150952230399,1.21571077208557,0.927134188452943,0,1.1439412742772,1.21658227374943,1.06041064086641,1.18887578615252
OSBS,1.54035632349148,1.48997495058022,1.1780470885438,1.4749387914261,1.51593749965414,1.19915407405179,1.1439412742772,0,1.62179424736751,0.958387938568395,1.48226588711505
SNJ,1.42680598371885,1.41543224544977,1.3125552704923,1.34325978496269,1.02446278974042,1.40546367452408,1.21658227374943,1.62179424736751,0,1.38009154158481,0.990517388824783
TALL,1.35576439601062,1.2795820082593,1.04274203444067,1.26070436794334,1.28691054556619,1.09208925058538,1.06041064086641,0.958387938568395,1.38009154158481,0,1.28723876524243
TMS,1.44357811879989,1.26529790504671,1.23810483159213,1.22974518196567,1.00121899522735,1.27254015977541,1.18887578615252,1.48226588711505,0.990517388824783,1.28723876524243,0
