BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,0.911331815171053,0.858454466042127,0.901029549658989,0.925994916730052,0.850381828212208,0.703734281040114,0.904590413241095,0.936468993288393,0.846680809033513,0.925430221183807
CBS,0.911331815171053,0,0.729884029997837,0.569205216757603,0.711175150073898,0.661446558310079,0.830843989146677,0.807865994551429,0.706044766346358,0.808521321683731,0.675695433305309
CWHL,0.858454466042127,0.729884029997837,0,0.729018953182303,0.762442272697434,0.546776721731367,0.668504339153739,0.709119622588345,0.77493587793166,0.586203345780757,0.752957774330864
DLS,0.901029549658989,0.569205216757603,0.729018953182303,0,0.717864882974557,0.71049284931325,0.804379295852207,0.806033120193848,0.694668065237214,0.788902548029054,0.676027577213436
GTS,0.925994916730052,0.711175150073898,0.762442272697434,0.717864882974557,0,0.759620074433262,0.865338585510108,0.780388358625226,0.502404350030683,0.80282867708061,0.375508739718081
HARV,0.850381828212208,0.661446558310079,0.546776721731367,0.71049284931325,0.759620074433262,0,0.734659456293334,0.710162704939091,0.768414605171936,0.713255932496883,0.739941829634484
MLBS,0.703734281040114,0.830843989146677,0.668504339153739,0.804379295852207,0.865338585510108,0.734659456293334,0,0.827219535172461,0.870546453948081,0.731467559686806,0.857100025314845
OSBS,0.904590413241095,0.807865994551429,0.709119622588345,0.806033120193848,0.780388358625226,0.710162704939091,0.827219535172461,0,0.806045560633922,0.605408332137689,0.776408631030702
SNJ,0.936468993288393,0.706044766346358,0.77493587793166,0.694668065237214,0.502404350030683,0.768414605171936,0.870546453948081,0.806045560633922,0,0.824037569030002,0.486136671892923
TALL,0.846680809033513,0.808521321683731,0.586203345780757,0.788902548029054,0.80282867708061,0.713255932496883,0.731467559686806,0.605408332137689,0.824037569030002,0,0.795694014698882
TMS,0.925430221183807,0.675695433305309,0.752957774330864,0.676027577213436,0.375508739718081,0.739941829634484,0.857100025314845,0.776408631030702,0.486136671892923,0.795694014698882,0
