BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,288.943038634097,285.327360386171,291.187492120704,288.573720094012,290.657049672359,280.264519252518,289.541495613748,288.375764997179,284.925056928696,287.385626864989
CBS,288.943038634097,0,248.942281101029,254.375339709094,255.328163272513,253.487721981431,252.889576365819,250.390854921996,255.09899253523,251.46175200896,252.786560241639
CWHL,285.327360386171,248.942281101029,0,250.975851870471,251.858810079635,250.415315082005,249.010889096399,246.267952206654,251.627112566708,246.391969099475,249.487481279024
DLS,291.187492120704,254.375339709094,250.975851870471,0,257.263415224906,256.673505608967,255.551679522023,252.336967784583,256.760021201045,252.590988700866,254.674792412971
GTS,288.573720094012,255.328163272513,251.858810079635,257.263415224906,0,257.476855083996,254.897245349737,253.537928544846,256.594750297934,253.034190705854,254.725967723103
HARV,290.657049672359,253.487721981431,250.415315082005,256.673505608967,257.476855083996,0,254.688893898263,250.769600302002,257.943352951463,253.074887203254,255.138377358081
MLBS,280.264519252518,252.889576365819,249.010889096399,255.551679522023,254.897245349737,254.688893898263,0,251.585508774923,254.585235590263,250.498690215572,252.779536425537
OSBS,289.541495613748,250.390854921996,246.267952206654,252.336967784583,253.537928544846,250.769600302002,251.585508774923,0,254.045241585399,247.735169054903,251.033632381781
SNJ,288.375764997179,255.09899253523,251.627112566708,256.760021201045,256.594750297934,257.943352951463,254.585235590263,254.045241585399,0,252.803194535779,254.349467782151
TALL,284.925056928696,251.46175200896,246.391969099475,252.590988700866,253.034190705854,253.074887203254,250.498690215572,247.735169054903,252.803194535779,0,251.036806563635
TMS,287.385626864989,252.786560241639,249.487481279024,254.674792412971,254.725967723103,255.138377358081,252.779536425537,251.033632381781,254.349467782151,251.036806563635,0
