BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,175.771015005764,161.264192479588,177.745499466835,175.47767860913,165.418069621132,105.394619972727,189.57205036435,176.20863819823,152.515514582133,175.1689842458
CBS,175.771015005764,0,40.4800023521172,25.2605166783508,43.839151369432,31.0317597310228,77.1335656616086,59.1150417249969,40.7202134783948,69.8836296598561,37.0004030044786
CWHL,161.264192479588,40.4800023521172,0,45.1302927708768,56.6845287225679,26.7725536874674,58.1070350512987,47.4817275618602,58.1743863521516,40.4952995600734,53.8207135564289
DLS,177.745499466835,25.2605166783508,45.1302927708768,0,48.4238770922828,40.2113115439425,81.7476922087786,63.3889331625477,44.8552702717622,69.1357324785266,40.5610768600977
GTS,175.47767860913,43.839151369432,56.6845287225679,48.4238770922828,0,52.9179514374483,102.509752523773,60.1827340106853,20.2401520764995,72.1526943539651,14.4220087310382
HARV,165.418069621132,31.0317597310228,26.7725536874674,40.2113115439425,52.9179514374483,0,60.5261994085255,46.2686955262629,54.6207944668749,52.877938761792,49.0874938029581
MLBS,105.394619972727,77.1335656616086,58.1070350512987,81.7476922087786,102.509752523773,60.5261994085255,0,86.5782874520202,104.277922835381,71.7253250240203,98.3276430104821
OSBS,189.57205036435,59.1150417249969,47.4817275618602,63.3889331625477,60.1827340106853,46.2686955262629,86.5782874520202,0,65.4194561642989,39.4608142695458,59.5736334017731
SNJ,176.20863819823,40.7202134783948,58.1743863521516,44.8552702717622,20.2401520764995,54.6207944668749,104.277922835381,65.4194561642989,0,79.000401835283,19.8887510131267
TALL,152.515514582133,69.8836296598561,40.4952995600734,69.1357324785266,72.1526943539651,52.877938761792,71.7253250240203,39.4608142695458,79.000401835283,0,71.6540845526708
TMS,175.1689842458,37.0004030044786,53.8207135564289,40.5610768600977,14.4220087310382,49.0874938029581,98.3276430104821,59.5736334017731,19.8887510131267,71.6540845526708,0
