BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,0.886055158393231,0.810794713607449,1.04211470482789,1.42448257525638,0.544722831914274,0.520458285980576,1.19092284748419,1.41443784153147,0.935617635003708,1.39516086227952
CBS,0.886055158393231,0,1.00059926650635,0.601551673947148,1.80025235059392,0.801460792271058,0.945306393376317,1.51944146909274,1.57365829402249,1.3222728268354,1.58765850916556
CWHL,0.810794713607449,1.00059926650635,0,1.14731589657029,1.45314846566701,0.517390125036096,0.554263541106107,1.02285851496336,1.30358868085965,0.658717588760276,1.38778038892549
DLS,1.04211470482789,0.601551673947148,1.14731589657029,0,1.61196094146662,0.977384868574472,1.1223716450995,1.56997933420985,1.4189130847453,1.30723776338863,1.448352463402
GTS,1.42448257525638,1.80025235059392,1.45314846566701,1.61196094146662,0,1.63788644904977,1.43327090688004,1.49741665094666,0.931025950620533,1.30110603556626,0.607245546180031
HARV,0.544722831914274,0.801460792271058,0.517390125036096,0.977384868574472,1.63788644904977,0,0.572861233459584,1.20230965755651,1.43700327830381,0.891771538640296,1.56755846862994
MLBS,0.520458285980576,0.945306393376317,0.554263541106107,1.1223716450995,1.43327090688004,0.572861233459584,0,1.03600609121941,1.28676986689575,0.753204368251481,1.35560422019029
OSBS,1.19092284748419,1.51944146909274,1.02285851496336,1.56997933420985,1.49741665094666,1.20230965755651,1.03600609121941,0,1.46513794689308,0.744700063708545,1.49008078171843
SNJ,1.41443784153147,1.57365829402249,1.30358868085965,1.4189130847453,0.931025950620533,1.43700327830381,1.28676986689575,1.46513794689308,0,1.32542428047607,0.864450293589242
TALL,0.935617635003708,1.3222728268354,0.658717588760276,1.30723776338863,1.30110603556626,0.891771538640296,0.753204368251481,0.744700063708545,1.32542428047607,0,1.27531940626553
TMS,1.39516086227952,1.58765850916556,1.38778038892549,1.448352463402,0.607245546180031,1.56755846862994,1.35560422019029,1.49008078171843,0.864450293589242,1.27531940626553,0
