BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,0.850457202088487,1.00761787723061,0.988492451804156,1.33962809523081,0.853774965755753,0.777439667950866,1.17646828994976,1.32839382036261,1.01351306773519,1.30970616712541
CBS,0.850457202088487,0,0.900956664250541,0.753706085540567,1.54576408020348,0.746784462698483,0.887640070214921,1.36753953237677,1.33589152060181,1.19706766640652,1.43490664032489
CWHL,1.00761787723061,0.900956664250541,0,1.0420794943514,1.29748548780946,0.835006170688478,0.961865795610385,1.1305510129731,1.15142679547092,1.00108781477367,1.25307327995718
DLS,0.988492451804156,0.753706085540567,1.0420794943514,0,1.46276012010292,0.885703989885766,1.05731825292658,1.43406921618185,1.31394809246758,1.21664954450199,1.34467081528547
GTS,1.33962809523081,1.54576408020348,1.29748548780946,1.46276012010292,0,1.40023484587941,1.32960668556976,1.33961207197811,1.02121089892124,1.14887547144936,1.09323252825924
HARV,0.853774965755753,0.746784462698483,0.835006170688478,0.885703989885766,1.40023484587941,0,0.912408659937053,1.21661349125115,1.22015420550413,1.03883063640447,1.35630632212833
MLBS,0.777439667950866,0.887640070214921,0.961865795610385,1.05731825292658,1.32960668556976,0.912408659937053,0,1.08518713150898,1.19851199855832,0.949208346213303,1.2597681813811
OSBS,1.17646828994976,1.36753953237677,1.1305510129731,1.43406921618185,1.33961207197811,1.21661349125115,1.08518713150898,0,1.29932119932733,1.09312016750127,1.34436959627874
SNJ,1.32839382036261,1.33589152060181,1.15142679547092,1.31394809246758,1.02121089892124,1.22015420550413,1.19851199855832,1.29932119932733,0,1.16216827146637,0.987736797856009
TALL,1.01351306773519,1.19706766640652,1.00108781477367,1.21664954450199,1.14887547144936,1.03883063640447,0.949208346213303,1.09312016750127,1.16216827146637,0,1.12945447252765
TMS,1.30970616712541,1.43490664032489,1.25307327995718,1.34467081528547,1.09323252825924,1.35630632212833,1.2597681813811,1.34436959627874,0.987736797856009,1.12945447252765,0
