BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,0.724171637613502,0.672842476078115,0.760379987201372,0.875582330668176,0.582067610748325,0.553925477083461,0.798745330276509,0.88137833719979,0.708342448939976,0.865879948005733
CBS,0.724171637613502,0,0.698746312174729,0.524002187909433,0.781539286658774,0.640530640304837,0.732749617051749,0.787784123071351,0.780692910681273,0.74302617902892,0.753211845897133
CWHL,0.672842476078115,0.698746312174729,0,0.714795012241453,0.783798204036353,0.45204629523308,0.502464139831317,0.644603645679981,0.776799712227255,0.50031193902728,0.765461154236273
DLS,0.760379987201372,0.524002187909433,0.714795012241453,0,0.754709837540206,0.67335466491472,0.742117807882842,0.77451035032364,0.746244926270009,0.728199768599604,0.718038055374069
GTS,0.875582330668176,0.781539286658774,0.783798204036353,0.754709837540206,0,0.784525320972046,0.857298497782629,0.77993451482994,0.47052444340669,0.764189977851316,0.344538933211285
HARV,0.582067610748325,0.640530640304837,0.45204629523308,0.67335466491472,0.784525320972046,0,0.544921781618796,0.689667583048738,0.774618905261727,0.610636445030398,0.7634369998799
MLBS,0.553925477083461,0.732749617051749,0.502464139831317,0.742117807882842,0.857298497782629,0.544921781618796,0,0.719328365604219,0.842929434112696,0.604925580157418,0.829516540934205
OSBS,0.798745330276509,0.787784123071351,0.644603645679981,0.77451035032364,0.77993451482994,0.689667583048738,0.719328365604219,0,0.78140042586203,0.526301780223204,0.759660191815857
SNJ,0.88137833719979,0.780692910681273,0.776799712227255,0.746244926270009,0.47052444340669,0.774618905261727,0.842929434112696,0.78140042586203,0,0.76457968364883,0.459673248729714
TALL,0.708342448939976,0.74302617902892,0.50031193902728,0.728199768599604,0.764189977851316,0.610636445030398,0.604925580157418,0.526301780223204,0.76457968364883,0,0.73672285891921
TMS,0.865879948005733,0.753211845897133,0.765461154236273,0.718038055374069,0.344538933211285,0.7634369998799,0.829516540934205,0.759660191815857,0.459673248729714,0.73672285891921,0
